Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2020-10-21,18:55,RB Salzburg,AUT,Lokomotiv Moskva,RUS,2-2
Group A,2020-10-21,21:00,Bayern München,GER,Atlético Madrid,ESP,4-0
Group A,2020-10-27,18:55,Lokomotiv Moskva,RUS,Bayern München,GER,1-2
Group A,2020-10-27,21:00,Atlético Madrid,ESP,RB Salzburg,AUT,3-2
Group A,2020-11-03,18:55,Lokomotiv Moskva,RUS,Atlético Madrid,ESP,1-1
Group A,2020-11-03,21:00,RB Salzburg,AUT,Bayern München,GER,2-6
Group A,2020-11-25,21:00,Atlético Madrid,ESP,Lokomotiv Moskva,RUS,0-0
Group A,2020-11-25,21:00,Bayern München,GER,RB Salzburg,AUT,3-1
Group A,2020-12-01,18:55,Lokomotiv Moskva,RUS,RB Salzburg,AUT,1-3
Group A,2020-12-01,21:00,Atlético Madrid,ESP,Bayern München,GER,1-1
Group A,2020-12-09,21:00,Bayern München,GER,Lokomotiv Moskva,RUS,2-0
Group A,2020-12-09,21:00,RB Salzburg,AUT,Atlético Madrid,ESP,0-2
Group B,2020-10-21,18:55,Real Madrid,ESP,Shakhtar Donetsk,UKR,2-3
Group B,2020-10-21,21:00,Inter,ITA,Bor. Mönchengladbach,GER,2-2
Group B,2020-10-27,18:55,Shakhtar Donetsk,UKR,Inter,ITA,0-0
Group B,2020-10-27,21:00,Bor. Mönchengladbach,GER,Real Madrid,ESP,2-2
Group B,2020-11-03,18:55,Shakhtar Donetsk,UKR,Bor. Mönchengladbach,GER,0-6
Group B,2020-11-03,21:00,Real Madrid,ESP,Inter,ITA,3-2
Group B,2020-11-25,18:55,Bor. Mönchengladbach,GER,Shakhtar Donetsk,UKR,4-0
Group B,2020-11-25,21:00,Inter,ITA,Real Madrid,ESP,0-2
Group B,2020-12-01,18:55,Shakhtar Donetsk,UKR,Real Madrid,ESP,2-0
Group B,2020-12-01,21:00,Bor. Mönchengladbach,GER,Inter,ITA,2-3
Group B,2020-12-09,21:00,Inter,ITA,Shakhtar Donetsk,UKR,0-0
Group B,2020-12-09,21:00,Real Madrid,ESP,Bor. Mönchengladbach,GER,2-0
Group C,2020-10-21,21:00,Manchester City,ENG,FC Porto,POR,3-1
Group C,2020-10-21,21:00,Olympiakos Piraeus,GRE,Olympique Marseille,FRA,1-0
Group C,2020-10-27,21:00,FC Porto,POR,Olympiakos Piraeus,GRE,2-0
Group C,2020-10-27,21:00,Olympique Marseille,FRA,Manchester City,ENG,0-3
Group C,2020-11-03,21:00,FC Porto,POR,Olympique Marseille,FRA,3-0
Group C,2020-11-03,21:00,Manchester City,ENG,Olympiakos Piraeus,GRE,3-0
