Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2022-09-07,18:45,AFC Ajax,NED,Rangers FC,SCO,4-0
Group A,2022-09-07,21:00,SSC Napoli,ITA,Liverpool FC,ENG,4-1
Group A,2022-09-13,21:00,Liverpool FC,ENG,AFC Ajax,NED,2-1
Group A,2022-09-14,21:00,Rangers FC,SCO,SSC Napoli,ITA,0-3
Group A,2022-10-04,21:00,AFC Ajax,NED,SSC Napoli,ITA,1-6
Group A,2022-10-04,21:00,Liverpool FC,ENG,Rangers FC,SCO,2-0
Group A,2022-10-12,18:45,SSC Napoli,ITA,AFC Ajax,NED,4-2
Group A,2022-10-12,21:00,Rangers FC,SCO,Liverpool FC,ENG,1-7
Group A,2022-10-26,21:00,AFC Ajax,NED,Liverpool FC,ENG,0-3
Group A,2022-10-26,21:00,SSC Napoli,ITA,Rangers FC,SCO,3-0
Group A,2022-11-01,21:00,Rangers FC,SCO,AFC Ajax,NED,1-3
Group A,2022-11-01,21:00,Liverpool FC,ENG,SSC Napoli,ITA,2-0
Group B,2022-09-07,21:00,Atlético Madrid,ESP,FC Porto,POR,2-1
Group B,2022-09-07,21:00,Club Brugge KV,BEL,Bayer Leverkusen,GER,1-0
Group B,2022-09-13,21:00,Bayer Leverkusen,GER,Atlético Madrid,ESP,2-0
Group B,2022-09-13,21:00,FC Porto,POR,Club Brugge KV,BEL,0-4
Group B,2022-10-04,21:00,Club Brugge KV,BEL,Atlético Madrid,ESP,2-0
Group B,2022-10-04,21:00,FC Porto,POR,Bayer Leverkusen,GER,2-0
Group B,2022-10-12,18:45,Atlético Madrid,ESP,Club Brugge KV,BEL,0-0
Group B,2022-10-12,21:00,Bayer Leverkusen,GER,FC Porto,POR,0-3
Group B,2022-10-26,18:45,Club Brugge KV,BEL,FC Porto,POR,0-4
Group B,2022-10-26,21:00,Atlético Madrid,ESP,Bayer Leverkusen,GER,2-2
Group B,2022-11-01,18:45,FC Porto,POR,Atlético Madrid,ESP,2-1
Group B,2022-11-01,18:45,Bayer Leverkusen,GER,Club Brugge KV,BEL,0-0
Group C,2022-09-07,21:00,Inter,ITA,Bayern München,GER,0-2
Group C,2022-09-07,21:00,FC Barcelona,ESP,Viktoria Plzeň,CZE,5-1
Group C,2022-09-13,18:45,Viktoria Plzeň,CZE,Inter,ITA,0-2
Group C,2022-09-13,21:00,Bayern München,GER,FC Barcelona,ESP,2-0
Group C,2022-10-04,18:45,Bayern München,GER,Viktoria Plzeň,CZE,5-0
Group C,2022-10-04,21:00,Inter,ITA,FC Barcelona,ESP,1-0
Group C,2022-10-12,21:00,Viktoria Plzeň,CZE,Bayern München,GER,2-4
Group C,2022-10-12,21:00,FC Barcelona,ESP,Inter,ITA,3-3
Group C,2022-10-26,18:45,Inter,ITA,Viktoria Plzeň,CZE,4-0
Group C,2022-10-26,21:00,FC Barcelona,ESP,Bayern München,GER,0-3
Group C,2022-11-01,21:00,Bayern München,GER,Inter,ITA,2-0
