Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2014-09-16,20:45,Olympiakos Piraeus,GRE,Atlético Madrid,ESP,3-2
Group A,2014-09-16,20:45,Juventus,ITA,Malmö FF,SWE,2-0
Group A,2014-10-01,20:45,Atlético Madrid,ESP,Juventus,ITA,1-0
Group A,2014-10-01,20:45,Malmö FF,SWE,Olympiakos Piraeus,GRE,2-0
Group A,2014-10-22,20:45,Atlético Madrid,ESP,Malmö FF,SWE,5-0
Group A,2014-10-22,20:45,Olympiakos Piraeus,GRE,Juventus,ITA,1-0
Group A,2014-11-04,20:45,Malmö FF,SWE,Atlético Madrid,ESP,0-2
Group A,2014-11-04,20:45,Juventus,ITA,Olympiakos Piraeus,GRE,3-2
Group A,2014-11-26,20:45,Atlético Madrid,ESP,Olympiakos Piraeus,GRE,4-0
Group A,2014-11-26,20:45,Malmö FF,SWE,Juventus,ITA,0-2
Group A,2014-12-09,20:45,Juventus,ITA,Atlético Madrid,ESP,0-0
Group A,2014-12-09,20:45,Olympiakos Piraeus,GRE,Malmö FF,SWE,4-2
Group B,2014-09-16,20:45,Real Madrid,ESP,FC Basel 1893,SUI,5-1
Group B,2014-09-16,20:45,Liverpool FC,ENG,PFC Ludogorets Razgrad,BUL,2-1
Group B,2014-10-01,20:45,FC Basel 1893,SUI,Liverpool FC,ENG,1-0
Group B,2014-10-01,20:45,PFC Ludogorets Razgrad,BUL,Real Madrid,ESP,1-2
Group B,2014-10-22,20:45,PFC Ludogorets Razgrad,BUL,FC Basel 1893,SUI,1-0
Group B,2014-10-22,20:45,Liverpool FC,ENG,Real Madrid,ESP,0-3
Group B,2014-11-04,20:45,FC Basel 1893,SUI,PFC Ludogorets Razgrad,BUL,4-0
Group B,2014-11-04,20:45,Real Madrid,ESP,Liverpool FC,ENG,1-0
Group B,2014-11-26,20:45,FC Basel 1893,SUI,Real Madrid,ESP,0-1
Group B,2014-11-26,20:45,PFC Ludogorets Razgrad,BUL,Liverpool FC,ENG,2-2
Group B,2014-12-09,20:45,Liverpool FC,ENG,FC Basel 1893,SUI,1-1
Group B,2014-12-09,20:45,Real Madrid,ESP,PFC Ludogorets Razgrad,BUL,4-0
Group C,2014-09-16,20:45,AS Monaco,FRA,Bayer Leverkusen,GER,1-0
Group C,2014-09-16,20:45,SL Benfica,POR,Zenit St. Petersburg,RUS,0-2
Group C,2014-10-01,18:00,Zenit St. Petersburg,RUS,AS Monaco,FRA,0-0
Group C,2014-10-01,20:45,Bayer Leverkusen,GER,SL Benfica,POR,3-1
Group C,2014-10-22,20:45,AS Monaco,FRA,SL Benfica,POR,0-0
Group C,2014-10-22,20:45,Bayer Leverkusen,GER,Zenit St. Petersburg,RUS,2-0
Group C,2014-11-04,18:00,Zenit St. Petersburg,RUS,Bayer Leverkusen,GER,1-2
Group C,2014-11-04,20:45,SL Benfica,POR,AS Monaco,FRA,1-0
Group C,2014-11-26,18:00,Zenit St. Petersburg,RUS,SL Benfica,POR,1-0
Group C,2014-11-26,20:45,Bayer Leverkusen,GER,AS Monaco,FRA,0-1
Group C,2014-12-09,20:45,AS Monaco,FRA,Zenit St. Petersburg,RUS,2-0
Group C,2014-12-09,20:45,SL Benfica,POR,Bayer Leverkusen,GER,0-0
Group D,2014-09-16,20:45,Borussia Dortmund,GER,Arsenal FC,ENG,2-0
Group D,2014-09-16,20:45,Galatasaray,TUR,RSC Anderlecht,BEL,1-1
Group D,2014-10-01,20:45,Arsenal FC,ENG,Galatasaray,TUR,4-1
Group D,2014-10-01,20:45,RSC Anderlecht,BEL,Borussia Dortmund,GER,0-3
Group D,2014-10-22,20:45,RSC Anderlecht,BEL,Arsenal FC,ENG,1-2
Group D,2014-10-22,20:45,Galatasaray,TUR,Borussia Dortmund,GER,0-4
Group D,2014-11-04,20:45,Arsenal FC,ENG,RSC Anderlecht,BEL,3-3
Group D,2014-11-04,20:45,Borussia Dortmund,GER,Galatasaray,TUR,4-1
Group D,2014-11-26,20:45,Arsenal FC,ENG,Borussia Dortmund,GER,2-0
Group D,2014-11-26,20:45,RSC Anderlecht,BEL,Galatasaray,TUR,2-0
Group D,2014-12-09,20:45,Galatasaray,TUR,Arsenal FC,ENG,1-4
Group D,2014-12-09,20:45,Borussia Dortmund,GER,RSC Anderlecht,BEL,1-1
Group E,2014-09-17,20:45,AS Roma,ITA,CSKA Moskva,RUS,5-1
Group E,2014-09-17,20:45,Bayern München,GER,Manchester City,ENG,1-0
Group E,2014-09-30,18:00,CSKA Moskva,RUS,Bayern München,GER,0-1
Group E,2014-09-30,20:45,Manchester City,ENG,AS Roma,ITA,1-1
Group E,2014-10-21,18:00,CSKA Moskva,RUS,Manchester City,ENG,2-2
Group E,2014-10-21,20:45,AS Roma,ITA,Bayern München,GER,1-7
Group E,2014-11-05,20:45,Bayern München,GER,AS Roma,ITA,2-0
Group E,2014-11-05,20:45,Manchester City,ENG,CSKA Moskva,RUS,1-2
Group E,2014-11-25,18:00,CSKA Moskva,RUS,AS Roma,ITA,1-1
Group E,2014-11-25,20:45,Manchester City,ENG,Bayern München,GER,3-2
Group E,2014-12-10,20:45,AS Roma,ITA,Manchester City,ENG,0-2
Group E,2014-12-10,20:45,Bayern München,GER,CSKA Moskva,RUS,3-0
Group F,2014-09-17,20:45,AFC Ajax,NED,Paris Saint-Germain,FRA,1-1
Group F,2014-09-17,20:45,FC Barcelona,ESP,APOEL Nikosia,CYP,1-0
Group F,2014-09-30,20:45,APOEL Nikosia,CYP,AFC Ajax,NED,1-1
Group F,2014-09-30,20:45,Paris Saint-Germain,FRA,FC Barcelona,ESP,3-2
Group F,2014-10-21,20:45,FC Barcelona,ESP,AFC Ajax,NED,3-1
Group F,2014-10-21,20:45,APOEL Nikosia,CYP,Paris Saint-Germain,FRA,0-1
Group F,2014-11-05,20:45,AFC Ajax,NED,FC Barcelona,ESP,0-2
Group F,2014-11-05,20:45,Paris Saint-Germain,FRA,APOEL Nikosia,CYP,1-0
Group F,2014-11-25,20:45,Paris Saint-Germain,FRA,AFC Ajax,NED,3-1
Group F,2014-11-25,20:45,APOEL Nikosia,CYP,FC Barcelona,ESP,0-4
Group F,2014-12-10,20:45,AFC Ajax,NED,APOEL Nikosia,CYP,4-0
Group F,2014-12-10,20:45,FC Barcelona,ESP,Paris Saint-Germain,FRA,3-1
Group G,2014-09-17,20:45,Chelsea FC,ENG,FC Schalke 04,GER,1-1
Group G,2014-09-17,20:45,NK Maribor,SVN,Sporting CP,POR,1-1
Group G,2014-09-30,20:45,Sporting CP,POR,Chelsea FC,ENG,0-1
Group G,2014-09-30,20:45,FC Schalke 04,GER,NK Maribor,SVN,1-1
Group G,2014-10-21,20:45,Chelsea FC,ENG,NK Maribor,SVN,6-0
Group G,2014-10-21,20:45,FC Schalke 04,GER,Sporting CP,POR,4-3
Group G,2014-11-05,20:45,NK Maribor,SVN,Chelsea FC,ENG,1-1
Group G,2014-11-05,20:45,Sporting CP,POR,FC Schalke 04,GER,4-2
Group G,2014-11-25,20:45,FC Schalke 04,GER,Chelsea FC,ENG,0-5
Group G,2014-11-25,20:45,Sporting CP,POR,NK Maribor,SVN,3-1
Group G,2014-12-10,20:45,Chelsea FC,ENG,Sporting CP,POR,3-1
Group G,2014-12-10,20:45,NK Maribor,SVN,FC Schalke 04,GER,0-1
Group H,2014-09-17,20:45,Athletic Club,ESP,Shakhtar Donetsk,UKR,0-0
Group H,2014-09-17,20:45,FC Porto,POR,BATE Borisov,BLR,6-0
Group H,2014-09-30,20:45,BATE Borisov,BLR,Athletic Club,ESP,2-1
Group H,2014-09-30,20:45,Shakhtar Donetsk,UKR,FC Porto,POR,2-2
Group H,2014-10-21,20:45,FC Porto,POR,Athletic Club,ESP,2-1
Group H,2014-10-21,20:45,BATE Borisov,BLR,Shakhtar Donetsk,UKR,0-7
Group H,2014-11-05,20:45,Athletic Club,ESP,FC Porto,POR,0-2
Group H,2014-11-05,20:45,Shakhtar Donetsk,UKR,BATE Borisov,BLR,5-0
Group H,2014-11-25,18:00,BATE Borisov,BLR,FC Porto,POR,0-3
Group H,2014-11-25,20:45,Shakhtar Donetsk,UKR,Athletic Club,ESP,0-1
Group H,2014-12-10,20:45,Athletic Club,ESP,BATE Borisov,BLR,2-0
Group H,2014-12-10,20:45,FC Porto,POR,Shakhtar Donetsk,UKR,1-1
Round of 16,2015-02-17,20:45,Paris Saint-Germain,FRA,Chelsea FC,ENG,1-1
Round of 16,2015-02-17,20:45,Shakhtar Donetsk,UKR,Bayern München,GER,0-0
Round of 16,2014-02-18,20:45,FC Schalke 04,GER,Real Madrid,ESP,0-2
Round of 16,2014-02-18,20:45,FC Basel 1893,SUI,FC Porto,POR,1-1
Round of 16,2014-02-24,20:45,Manchester City,ENG,FC Barcelona,ESP,1-2
Round of 16,2014-02-24,20:45,Juventus,ITA,Borussia Dortmund,GER,2-1
Round of 16,2014-02-25,20:45,Bayer Leverkusen,GER,Atlético Madrid,ESP,1-0
Round of 16,2014-02-25,20:45,Arsenal FC,ENG,AS Monaco,FRA,1-3
Round of 16,2014-03-10,20:45,Real Madrid,ESP,FC Schalke 04,GER,3-4
Round of 16,2014-03-10,20:45,FC Porto,POR,FC Basel 1893,SUI,4-0
Round of 16,2014-03-11,20:45,Chelsea FC,ENG,Paris Saint-Germain,FRA,2-2
Round of 16,2014-03-11,20:45,Bayern München,GER,Shakhtar Donetsk,UKR,7-0
Round of 16,2014-03-17,20:45,Atlético Madrid,ESP,Bayer Leverkusen,GER,3-2
Round of 16,2014-03-17,20:45,AS Monaco,FRA,Arsenal FC,ENG,0-2
Round of 16,2014-03-18,20:45,FC Barcelona,ESP,Manchester City,ENG,1-0
Round of 16,2014-03-18,20:45,Borussia Dortmund,GER,Juventus,ITA,0-3
Quarterfinals,2014-04-14,20:45,Atlético Madrid,ESP,Real Madrid,ESP,0-0
Quarterfinals,2014-04-14,20:45,Juventus,ITA,AS Monaco,FRA,1-0
Quarterfinals,2014-04-15,20:45,Paris Saint-Germain,FRA,FC Barcelona,ESP,1-3
Quarterfinals,2014-04-15,20:45,FC Porto,POR,Bayern München,GER,3-1
Quarterfinals,2014-04-21,20:45,FC Barcelona,ESP,Paris Saint-Germain,FRA,2-0
Quarterfinals,2014-04-21,20:45,Bayern München,GER,FC Porto,POR,6-1
Quarterfinals,2014-04-22,20:45,Real Madrid,ESP,Atlético Madrid,ESP,1-0
Quarterfinals,2014-04-22,20:45,AS Monaco,FRA,Juventus,ITA,0-0
Semifinals,2014-05-05,20:45,Juventus,ITA,Real Madrid,ESP,2-1
Semifinals,2014-05-06,20:45,FC Barcelona,ESP,Bayern München,GER,3-0
Semifinals,2014-05-12,20:45,Bayern München,GER,FC Barcelona,ESP,3-2
Semifinals,2014-05-13,20:45,Real Madrid,ESP,Juventus,ITA,1-1
Final,2014-06-06,20:45,Juventus,ITA,FC Barcelona,ESP,1-3
