Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2016-09-13,20:45,FC Basel 1893,SUI,PFC Ludogorets Razgrad,BUL,1-1
Group A,2016-09-13,20:45,Paris Saint-Germain,FRA,Arsenal FC,ENG,1-1
Group A,2016-09-28,20:45,Arsenal FC,ENG,FC Basel 1893,SUI,2-0
Group A,2016-09-28,20:45,PFC Ludogorets Razgrad,BUL,Paris Saint-Germain,FRA,1-3
Group A,2016-10-19,20:45,Arsenal FC,ENG,PFC Ludogorets Razgrad,BUL,6-0
Group A,2016-10-19,20:45,Paris Saint-Germain,FRA,FC Basel 1893,SUI,3-0
Group A,2016-11-01,20:45,FC Basel 1893,SUI,Paris Saint-Germain,FRA,1-2
Group A,2016-11-01,20:45,PFC Ludogorets Razgrad,BUL,Arsenal FC,ENG,2-3
Group A,2016-11-23,20:45,Arsenal FC,ENG,Paris Saint-Germain,FRA,2-2
Group A,2016-11-23,20:45,PFC Ludogorets Razgrad,BUL,FC Basel 1893,SUI,0-0
Group A,2016-12-06,20:45,FC Basel 1893,SUI,Arsenal FC,ENG,1-4
Group A,2016-12-06,20:45,Paris Saint-Germain,FRA,PFC Ludogorets Razgrad,BUL,2-2
Group B,2016-09-13,20:45,Dinamo Kiev,UKR,SSC Napoli,ITA,1-2
Group B,2016-09-13,20:45,SL Benfica,POR,Beşiktaş,TUR,1-1
Group B,2016-09-28,20:45,Beşiktaş,TUR,Dinamo Kiev,UKR,1-1
Group B,2016-09-28,20:45,SSC Napoli,ITA,SL Benfica,POR,4-2
Group B,2016-10-19,20:45,Dinamo Kiev,UKR,SL Benfica,POR,0-2
Group B,2016-10-19,20:45,SSC Napoli,ITA,Beşiktaş,TUR,2-3
Group B,2016-11-01,18:45,Beşiktaş,TUR,SSC Napoli,ITA,1-1
Group B,2016-11-01,20:45,SL Benfica,POR,Dinamo Kiev,UKR,1-0
Group B,2016-11-23,18:45,Beşiktaş,TUR,SL Benfica,POR,3-3
Group B,2016-11-23,20:45,SSC Napoli,ITA,Dinamo Kiev,UKR,0-0
Group B,2016-12-06,20:45,Dinamo Kiev,UKR,Beşiktaş,TUR,6-0
Group B,2016-12-06,20:45,SL Benfica,POR,SSC Napoli,ITA,1-2
Group C,2016-09-13,20:45,FC Barcelona,ESP,Celtic FC,SCO,7-0
Group C,2016-09-14,20:45,Manchester City,ENG,Bor. Mönchengladbach,GER,4-0
Group C,2016-09-28,20:45,Bor. Mönchengladbach,GER,FC Barcelona,ESP,1-2
Group C,2016-09-28,20:45,Celtic FC,SCO,Manchester City,ENG,3-3
Group C,2016-10-19,20:45,Celtic FC,SCO,Bor. Mönchengladbach,GER,0-2
Group C,2016-10-19,20:45,FC Barcelona,ESP,Manchester City,ENG,4-0
Group C,2016-11-01,20:45,Bor. Mönchengladbach,GER,Celtic FC,SCO,1-1
Group C,2016-11-01,20:45,Manchester City,ENG,FC Barcelona,ESP,3-1
Group C,2016-11-23,20:45,Bor. Mönchengladbach,GER,Manchester City,ENG,1-1
