Stage,Date,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Qualifying,1999-07-13,IB Vestmannaeyja,ISL,KF Tirana,ALB,1-0
Qualifying,1999-07-14,Sloga Jugomagnat Skopje,MKD,Kapaz,AZE,1-0
Qualifying,1999-07-14,Zalgiris Vilnius,LTU,Araks Ararat,ARM,2-0
Qualifying,1999-07-14,Barry Town,WAL,Valletta,MLT,0-0
Qualifying,1999-07-14,PFC Litex Lovech,BUL,Glentoran,NIR,3-0
Qualifying,1999-07-14,HB,FRO,Haka Valkeakoski,FIN,1-1
Qualifying,1999-07-14,Jeunesse Esch,LUX,Skonto,LVA,0-2
Qualifying,1999-07-14,St Patrick's Athletic,IRL,Zimbru Chisinau,MDA,0-5
Qualifying,1999-07-14,Partizan Belgrade,SRB,Flora Tallinn,EST,6-0
Qualifying,1999-07-21,Kapaz,AZE,Sloga Jugomagnat Skopje,MKD,2-1
Qualifying,1999-07-21,Araks Ararat,ARM,Zalgiris Vilnius,LTU,0-3
Qualifying,1999-07-21,Valletta,MLT,Barry Town,WAL,3-2
Qualifying,1999-07-21,Glentoran,NIR,PFC Litex Lovech,BUL,0-2
Qualifying,1999-07-21,Haka Valkeakoski,FIN,HB,FRO,6-0
Qualifying,1999-07-21,KF Tirana,ALB,IB Vestmannaeyja,ISL,1-2
Qualifying,1999-07-21,Flora Tallinn,EST,Partizan Belgrade,SRB,1-4
Qualifying,1999-07-21,Zimbru Chisinau,MDA,St Patrick's Athletic,IRL,5-0
Qualifying,1999-07-21,Skonto,LVA,Jeunesse Esch,LUX,8-0
Qualifying,1999-07-28,PFC Litex Lovech,BUL,Widzew Lodz,POL,4-1
Qualifying,1999-07-28,Beşiktaş İstanbul JK,TUR,Hapoel Haifa,ISR,1-1
Qualifying,1999-07-28,Dnepr Mogilev,BLR,AIK Solna,SWE,0-1
Qualifying,1999-07-28,Anorthosis Famagusta,CYP,SK Slovan Bratislava,SVK,2-1
Qualifying,1999-07-28,Sloga Jugomagnat Skopje,MKD,Brondby IF,DEN,0-1
Qualifying,1999-07-28,CSKA Moskva,RUS,Molde FK,NOR,2-0
Qualifying,1999-07-28,Dinamo Kiev,UKR,Zalgiris Vilnius,LTU,2-0
Qualifying,1999-07-28,Dinamo Tbilisi,GEO,Zimbru Chisinau,MDA,2-1
Qualifying,1999-07-28,Haka Valkeakoski,FIN,Rangers FC,SCO,1-4
Qualifying,1999-07-28,IB Vestmannaeyja,ISL,MTK,HUN,0-2
Qualifying,1999-07-28,NK Maribor,SVN,KRC Genk,BEL,5-1
Qualifying,1999-07-28,Rapid Bucuresti,ROU,Skonto,LVA,3-3
Qualifying,1999-07-28,Partizan Belgrade,SRB,HNK Rijeka,CRO,3-1
Qualifying,1999-07-28,Rapid Wien,AUT,Valletta,MLT,3-0
Qualifying,1999-08-04,Widzew Lodz,POL,PFC Litex Lovech,BUL,4-1 (*)
Qualifying,1999-08-04,Hapoel Haifa,ISR,Beşiktaş İstanbul JK,TUR,0-0
Qualifying,1999-08-04,AIK Solna,SWE,Dnepr Mogilev,BLR,2-0
Qualifying,1999-08-04,SK Slovan Bratislava,SVK,Anorthosis Famagusta,CYP,1-1
Qualifying,1999-08-04,Brondby IF,DEN,Sloga Jugomagnat Skopje,MKD,1-0
Qualifying,1999-08-04,Molde FK,NOR,CSKA Moskva,RUS,4-0
Qualifying,1999-08-04,Zalgiris Vilnius,LTU,Dinamo Kiev,UKR,0-1
Qualifying,1999-08-04,Zimbru Chisinau,MDA,Dinamo Tbilisi,GEO,2-0
Qualifying,1999-08-04,Rangers FC,SCO,Haka Valkeakoski,FIN,3-0
Qualifying,1999-08-04,MTK,HUN,IB Vestmannaeyja,ISL,3-1
Qualifying,1999-08-04,KRC Genk,BEL,NK Maribor,SVN,3-0
Qualifying,1999-08-04,Skonto,LVA,Rapid Bucuresti,ROU,2-1
Qualifying,1999-08-04,Valletta,MLT,Rapid Wien,AUT,0-2
Qualifying,1999-08-04,HNK Rijeka,CRO,Partizan Belgrade,SRB,0-3
Qualifying,1999-08-10,Olympique Lyon,FRA,NK Maribor,SVN,0-1
Qualifying,1999-08-11,Molde FK,NOR,RCD Mallorca,ESP,0-0
Qualifying,1999-08-11,Aalborg BK,DEN,Dinamo Kiev,UKR,1-2
Qualifying,1999-08-11,ACF Fiorentina,ITA,Widzew Lodz,POL,3-1
Qualifying,1999-08-11,AEK Athens,GRE,AIK Solna,SWE,0-0
Qualifying,1999-08-11,Hertha BSC,GER,Anorthosis Famagusta,CYP,2-0
Qualifying,1999-08-11,Brondby IF,DEN,Boavista FC,POR,1-2
Qualifying,1999-08-11,Teplice,CZE,Borussia Dortmund,GER,0-1
Qualifying,1999-08-11,Chelsea FC,ENG,Skonto,LVA,3-0
Qualifying,1999-08-11,Dinamo Zagreb,CRO,MTK,HUN,0-0
Qualifying,1999-08-11,Rapid Wien,AUT,Galatasaray İstanbul AŞ,TUR,0-3
Qualifying,1999-08-11,Spartak Moskva,RUS,Partizan Belgrade,SRB,2-0
Qualifying,1999-08-11,Rangers FC,SCO,Parma,ITA,2-0
