Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2013-09-17,20:45,Manchester United,ENG,Bayer Leverkusen,GER,4-2
Group A,2013-09-17,20:45,Real Sociedad,ESP,Shakhtar Donetsk,UKR,0-2
Group A,2013-10-02,20:45,Shakhtar Donetsk,UKR,Manchester United,ENG,1-1
Group A,2013-10-02,20:45,Bayer Leverkusen,GER,Real Sociedad,ESP,2-1
Group A,2013-10-23,20:45,Bayer Leverkusen,GER,Shakhtar Donetsk,UKR,4-0
Group A,2013-10-23,20:45,Manchester United,ENG,Real Sociedad,ESP,1-0
Group A,2013-11-05,20:45,Shakhtar Donetsk,UKR,Bayer Leverkusen,GER,0-0
Group A,2013-11-05,20:45,Real Sociedad,ESP,Manchester United,ENG,0-0
Group A,2013-11-27,20:45,Bayer Leverkusen,GER,Manchester United,ENG,0-5
Group A,2013-11-27,20:45,Shakhtar Donetsk,UKR,Real Sociedad,ESP,4-0
Group A,2013-12-10,20:45,Manchester United,ENG,Shakhtar Donetsk,UKR,1-0
Group A,2013-12-10,20:45,Real Sociedad,ESP,Bayer Leverkusen,GER,0-1
Group B,2013-09-17,20:45,Galatasaray,TUR,Real Madrid,ESP,1-6
Group B,2013-09-17,20:45,FC København,DEN,Juventus,ITA,1-1
Group B,2013-10-02,20:45,Juventus,ITA,Galatasaray,TUR,2-2
Group B,2013-10-02,20:45,Real Madrid,ESP,FC København,DEN,4-0
Group B,2013-10-23,20:45,Real Madrid,ESP,Juventus,ITA,2-1
Group B,2013-10-23,20:45,Galatasaray,TUR,FC København,DEN,3-1
Group B,2013-11-05,20:45,Juventus,ITA,Real Madrid,ESP,2-2
Group B,2013-11-05,20:45,FC København,DEN,Galatasaray,TUR,1-0
Group B,2013-11-27,20:45,Real Madrid,ESP,Galatasaray,TUR,4-1
Group B,2013-11-27,20:45,Juventus,ITA,FC København,DEN,3-1
Group B,2013-12-10,20:45,FC København,DEN,Real Madrid,ESP,0-2
Group B,2013-12-11,14:00,Galatasaray,TUR,Juventus,ITA,1-0
Group C,2013-09-17,20:45,Olympiakos Piraeus,GRE,Paris Saint-Germain,FRA,1-4
Group C,2013-09-17,20:45,SL Benfica,POR,RSC Anderlecht,BEL,2-0
Group C,2013-10-02,20:45,Paris Saint-Germain,FRA,SL Benfica,POR,3-0
Group C,2013-10-02,20:45,RSC Anderlecht,BEL,Olympiakos Piraeus,GRE,0-3
Group C,2013-10-23,20:45,RSC Anderlecht,BEL,Paris Saint-Germain,FRA,0-5
Group C,2013-10-23,20:45,SL Benfica,POR,Olympiakos Piraeus,GRE,1-1
Group C,2013-11-05,20:45,Paris Saint-Germain,FRA,RSC Anderlecht,BEL,1-1
Group C,2013-11-05,20:45,Olympiakos Piraeus,GRE,SL Benfica,POR,1-0
Group C,2013-11-27,20:45,RSC Anderlecht,BEL,SL Benfica,POR,2-3
Group C,2013-11-27,20:45,Paris Saint-Germain,FRA,Olympiakos Piraeus,GRE,2-1
