Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
"League, Matchday 1",2024-09-17,18:45,BSC Young Boys,SUI,Aston Villa FC,ENG,0-3
"League, Matchday 1",2024-09-17,18:45,Juventus FC,ITA,PSV,NED,3-1
"League, Matchday 1",2024-09-17,21:00,Sporting Clube de Portugal,POR,Lille OSC,FRA,2-0
"League, Matchday 1",2024-09-17,21:00,FC Bayern München,GER,GNK Dinamo Zagreb,CRO,9-2
"League, Matchday 1",2024-09-17,21:00,Real Madrid CF,ESP,VfB Stuttgart,GER,3-1
"League, Matchday 1",2024-09-17,21:00,AC Milan,ITA,Liverpool FC,ENG,1-3
"League, Matchday 1",2024-09-18,18:45,Bologna FC 1909,ITA,FK Shakhtar Donetsk,UKR,0-0
"League, Matchday 1",2024-09-18,18:45,AC Sparta Praha,CZE,FC Red Bull Salzburg,AUT,3-0
"League, Matchday 1",2024-09-18,21:00,Manchester City FC,ENG,FC Internazionale Milano,ITA,0-0
"League, Matchday 1",2024-09-18,21:00,Paris Saint-Germain FC,FRA,Girona FC,ESP,1-0
"League, Matchday 1",2024-09-18,21:00,Club Brugge KV,BEL,Borussia Dortmund,GER,0-3
"League, Matchday 1",2024-09-18,21:00,Celtic FC,SCO,ŠK Slovan Bratislava,SVK,5-1
"League, Matchday 1",2024-09-19,18:45,Feyenoord Rotterdam,NED,Bayer 04 Leverkusen,GER,0-4
"League, Matchday 1",2024-09-19,18:45,FK Crvena Zvezda,SRB,Sport Lisboa e Benfica,POR,1-2
"League, Matchday 1",2024-09-19,21:00,AS Monaco FC,MCO,FC Barcelona,ESP,2-1
"League, Matchday 1",2024-09-19,21:00,Stade Brestois 29,FRA,SK Sturm Graz,AUT,2-1
"League, Matchday 1",2024-09-19,21:00,Atalanta BC,ITA,Arsenal FC,ENG,0-0
"League, Matchday 1",2024-09-19,21:00,Club Atlético de Madrid,ESP,RB Leipzig,GER,2-1
"League, Matchday 2",2024-10-01,18:45,VfB Stuttgart,GER,AC Sparta Praha,CZE,1-1
"League, Matchday 2",2024-10-01,18:45,FC Red Bull Salzburg,AUT,Stade Brestois 29,FRA,0-4
"League, Matchday 2",2024-10-01,21:00,ŠK Slovan Bratislava,SVK,Manchester City FC,ENG,0-4
"League, Matchday 2",2024-10-01,21:00,Borussia Dortmund,GER,Celtic FC,SCO,7-1
"League, Matchday 2",2024-10-01,21:00,FC Barcelona,ESP,BSC Young Boys,SUI,5-0
"League, Matchday 2",2024-10-01,21:00,FC Internazionale Milano,ITA,FK Crvena Zvezda,SRB,4-0
"League, Matchday 2",2024-10-01,21:00,Bayer 04 Leverkusen,GER,AC Milan,ITA,1-0
"League, Matchday 2",2024-10-01,21:00,Arsenal FC,ENG,Paris Saint-Germain FC,FRA,2-0
"League, Matchday 2",2024-10-01,21:00,PSV,NED,Sporting Clube de Portugal,POR,1-1
"League, Matchday 2",2024-10-02,18:45,Girona FC,ESP,Feyenoord Rotterdam,NED,2-3
"League, Matchday 2",2024-10-02,18:45,FK Shakhtar Donetsk,UKR,Atalanta BC,ITA,0-3
"League, Matchday 2",2024-10-02,21:00,Aston Villa FC,ENG,FC Bayern München,GER,1-0
"League, Matchday 2",2024-10-02,21:00,SK Sturm Graz,AUT,Club Brugge KV,BEL,0-1
"League, Matchday 2",2024-10-02,21:00,Liverpool FC,ENG,Bologna FC 1909,ITA,2-0
"League, Matchday 2",2024-10-02,21:00,RB Leipzig,GER,Juventus FC,ITA,2-3
"League, Matchday 2",2024-10-02,21:00,Sport Lisboa e Benfica,POR,Club Atlético de Madrid,ESP,4-0
"League, Matchday 2",2024-10-02,21:00,GNK Dinamo Zagreb,CRO,AS Monaco FC,MCO,2-2
"League, Matchday 2",2024-10-02,21:00,Lille OSC,FRA,Real Madrid CF,ESP,1-0
"League, Matchday 3",2024-10-22,18:45,AS Monaco FC,MCO,FK Crvena Zvezda,SRB,5-1
"League, Matchday 3",2024-10-22,18:45,AC Milan,ITA,Club Brugge KV,BEL,3-1
"League, Matchday 3",2024-10-22,21:00,Aston Villa FC,ENG,Bologna FC 1909,ITA,2-0
"League, Matchday 3",2024-10-22,21:00,Girona FC,ESP,ŠK Slovan Bratislava,SVK,2-0
"League, Matchday 3",2024-10-22,21:00,SK Sturm Graz,AUT,Sporting Clube de Portugal,POR,0-2
"League, Matchday 3",2024-10-22,21:00,Paris Saint-Germain FC,FRA,PSV,NED,1-1
"League, Matchday 3",2024-10-22,21:00,Real Madrid CF,ESP,Borussia Dortmund,GER,5-2
"League, Matchday 3",2024-10-22,21:00,Arsenal FC,ENG,FK Shakhtar Donetsk,UKR,1-0
