season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,key__minutes_played_official,key__matches_appearance,key__goals,key__assists,key__distance_covered,key__top_speed
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,30192,John Carew,46.0,1979-09-05,NOR,,MALE,FORWARD,,,Carew,10,1080.0,12.0,5.0,,,
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,34003,Milan Fukal,50.0,1975-05-16,CZE,,MALE,DEFENDER,,,Fukal,,1080.0,12.0,3.0,,,
1999,50080,BAR,Barcelona,Barcelona,Spain,España,4761,Frank de Boer,55.0,1970-05-15,NED,NED,MALE,,UNKNOWN,,,,1080.0,12.0,2.0,,,
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,202,Jiří Novotný,55.0,1970-04-07,CZE,,MALE,DEFENDER,,,Novotný,,1080.0,12.0,2.0,,,
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,14670,David Beckham,50.0,1975-05-02,ENG,ENG,MALE,MIDFIELDER,UNKNOWN,,BECKHAM,32,1080.0,12.0,2.0,,,
1999,50064,POR,Porto,Porto,Portugal,Portugal,7728,Jorge Costa,54.0,1971-10-14,POR,,MALE,DEFENDER,,,Jorge Costa,,1080.0,12.0,1.0,,,
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,7158,Bent Skammelsrud,59.0,1966-05-18,NOR,,MALE,MIDFIELDER,,,Skammelsrud,,1080.0,12.0,1.0,,,
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,21977,Andriy Gusin,52.0,1972-12-11,UKR,,MALE,,,2600096,,23,1080.0,12.0,1.0,,,
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,11043,Rui Costa,53.0,1972-03-29,POR,POR,MALE,,,,,10,1080.0,12.0,1.0,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,46034,Bert Konterman,54.0,1971-01-14,NED,,MALE,DEFENDER,,,Konterman,,1080.0,12.0,,,,
1999,50064,POR,Porto,Porto,Portugal,Portugal,4415,Secretário,55.0,1970-05-12,POR,,MALE,DEFENDER,,,Secretário,,1080.0,12.0,,,,
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,34694,Iker Casillas,44.0,1981-05-20,ESP,ESP,MALE,GOALKEEPER,GOALKEEPER,,I. Casillas,1,1080.0,12.0,,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,33860,Jerzy Dudek,52.0,1973-03-23,POL,POL,MALE,GOALKEEPER,,,Dudek,25,1080.0,12.0,,,,
1999,50080,BAR,Barcelona,Barcelona,Spain,España,27802,Ruud Hesp,60.0,1965-10-31,NED,,MALE,,,50094,,,1080.0,12.0,,,,
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,23137,Olexandr Shovkovskiy,50.0,1975-01-02,UKR,,MALE,,,,,1,1080.0,12.0,,,,
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,22936,Petr Gabriel,52.0,1973-05-17,CZE,,MALE,DEFENDER,,,Gabriel,,1080.0,12.0,,,,
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,6869,Ørjan Berg,57.0,1968-08-20,NOR,,MALE,MIDFIELDER,,,Berg,,1079.0,12.0,3.0,,,
1999,50064,POR,Porto,Porto,Portugal,Portugal,7826,Ljubinko Drulović,57.0,1968-09-11,SRB,,MALE,FORWARD,,,Drulović,,1070.0,14.0,2.0,,,
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,28154,Frank Leboeuf,57.0,1968-01-22,FRA,FRA,MALE,DEFENDER,,,Leboeuf,,1067.0,13.0,1.0,,,
1999,52748,MAR,Marseille,Marseille,France,Francia,27585,Peter Luccin,46.0,1979-04-09,FRA,,MALE,MIDFIELDER,,64253,Luccin,15,1066.0,12.0,,,,
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,19099,Serhiy Rebrov,51.0,1974-06-03,UKR,UKR,MALE,,UNKNOWN,,,5,1063.0,12.0,8.0,,,
