Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2012-09-18,20:45,Paris Saint-Germain,FRA,Dinamo Kiev,UKR,4-1
Group A,2012-09-18,20:45,Dinamo Zagreb,CRO,FC Porto,POR,0-2
Group A,2012-10-03,20:45,FC Porto,POR,Paris Saint-Germain,FRA,1-0
Group A,2012-10-03,20:45,Dinamo Kiev,UKR,Dinamo Zagreb,CRO,2-0
Group A,2012-10-24,20:45,FC Porto,POR,Dinamo Kiev,UKR,3-2
Group A,2012-10-24,20:45,Dinamo Zagreb,CRO,Paris Saint-Germain,FRA,0-2
Group A,2012-11-06,20:45,Dinamo Kiev,UKR,FC Porto,POR,0-0
Group A,2012-11-06,20:45,Paris Saint-Germain,FRA,Dinamo Zagreb,CRO,4-0
Group A,2012-11-21,20:45,Dinamo Kiev,UKR,Paris Saint-Germain,FRA,0-2
Group A,2012-11-21,20:45,FC Porto,POR,Dinamo Zagreb,CRO,3-0
Group A,2012-12-04,20:45,Paris Saint-Germain,FRA,FC Porto,POR,2-1
Group A,2012-12-04,20:45,Dinamo Zagreb,CRO,Dinamo Kiev,UKR,1-1
Group B,2012-09-18,20:45,Olympiakos Piraeus,GRE,FC Schalke 04,GER,1-2
Group B,2012-09-18,20:45,Montpellier HSC,FRA,Arsenal FC,ENG,1-2
Group B,2012-10-03,20:45,Arsenal FC,ENG,Olympiakos Piraeus,GRE,3-1
Group B,2012-10-03,20:45,FC Schalke 04,GER,Montpellier HSC,FRA,2-2
Group B,2012-10-24,20:45,Arsenal FC,ENG,FC Schalke 04,GER,0-2
Group B,2012-10-24,20:45,Montpellier HSC,FRA,Olympiakos Piraeus,GRE,1-2
Group B,2012-11-06,20:45,FC Schalke 04,GER,Arsenal FC,ENG,2-2
Group B,2012-11-06,20:45,Olympiakos Piraeus,GRE,Montpellier HSC,FRA,3-1
Group B,2012-11-21,20:45,FC Schalke 04,GER,Olympiakos Piraeus,GRE,1-0
Group B,2012-11-21,20:45,Arsenal FC,ENG,Montpellier HSC,FRA,2-0
Group B,2012-12-04,20:45,Olympiakos Piraeus,GRE,Arsenal FC,ENG,2-1
Group B,2012-12-04,20:45,Montpellier HSC,FRA,FC Schalke 04,GER,1-1
Group C,2012-09-18,20:45,AC Milan,ITA,RSC Anderlecht,BEL,0-0
Group C,2012-09-18,20:45,Málaga CF,ESP,Zenit St. Petersburg,RUS,3-0
Group C,2012-10-03,18:00,Zenit St. Petersburg,RUS,AC Milan,ITA,2-3
Group C,2012-10-03,20:45,RSC Anderlecht,BEL,Málaga CF,ESP,0-3
Group C,2012-10-24,18:00,Zenit St. Petersburg,RUS,RSC Anderlecht,BEL,1-0
Group C,2012-10-24,20:45,Málaga CF,ESP,AC Milan,ITA,1-0
Group C,2012-11-06,20:45,RSC Anderlecht,BEL,Zenit St. Petersburg,RUS,1-0
Group C,2012-11-06,20:45,AC Milan,ITA,Málaga CF,ESP,1-1
Group C,2012-11-21,18:00,Zenit St. Petersburg,RUS,Málaga CF,ESP,2-2
Group C,2012-11-21,20:45,RSC Anderlecht,BEL,AC Milan,ITA,1-3
Group C,2012-12-04,20:45,AC Milan,ITA,Zenit St. Petersburg,RUS,0-1
Group C,2012-12-04,20:45,Málaga CF,ESP,RSC Anderlecht,BEL,2-2
Group D,2012-09-18,20:45,Real Madrid,ESP,Manchester City,ENG,3-2
Group D,2012-09-18,20:45,Borussia Dortmund,GER,AFC Ajax,NED,1-0
Group D,2012-10-03,20:45,AFC Ajax,NED,Real Madrid,ESP,1-4
Group D,2012-10-03,20:45,Manchester City,ENG,Borussia Dortmund,GER,1-1
Group D,2012-10-24,20:45,AFC Ajax,NED,Manchester City,ENG,3-1
Group D,2012-10-24,20:45,Borussia Dortmund,GER,Real Madrid,ESP,2-1
Group D,2012-11-06,20:45,Manchester City,ENG,AFC Ajax,NED,2-2
Group D,2012-11-06,20:45,Real Madrid,ESP,Borussia Dortmund,GER,2-2
Group D,2012-11-21,20:45,Manchester City,ENG,Real Madrid,ESP,1-1
Group D,2012-11-21,20:45,AFC Ajax,NED,Borussia Dortmund,GER,1-4
Group D,2012-12-04,20:45,Real Madrid,ESP,AFC Ajax,NED,4-1
Group D,2012-12-04,20:45,Borussia Dortmund,GER,Manchester City,ENG,1-0
Group E,2012-09-19,20:45,Chelsea FC,ENG,Juventus,ITA,2-2
Group E,2012-09-19,20:45,Shakhtar Donetsk,UKR,FC Nordsjælland,DEN,2-0
Group E,2012-10-02,20:45,Juventus,ITA,Shakhtar Donetsk,UKR,1-1
Group E,2012-10-02,20:45,FC Nordsjælland,DEN,Chelsea FC,ENG,0-4
