Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2019-09-18,18:55,Club Brugge KV,BEL,Galatasaray,TUR,0-0
Group A,2019-09-18,21:00,Paris Saint-Germain,FRA,Real Madrid,ESP,3-0
Group A,2019-10-01,18:55,Real Madrid,ESP,Club Brugge KV,BEL,2-2
Group A,2019-10-01,21:00,Galatasaray,TUR,Paris Saint-Germain,FRA,0-1
Group A,2019-10-22,21:00,Club Brugge KV,BEL,Paris Saint-Germain,FRA,0-5
Group A,2019-10-22,21:00,Galatasaray,TUR,Real Madrid,ESP,0-1
Group A,2019-11-06,21:00,Paris Saint-Germain,FRA,Club Brugge KV,BEL,1-0
Group A,2019-11-06,21:00,Real Madrid,ESP,Galatasaray,TUR,6-0
Group A,2019-11-26,18:55,Galatasaray,TUR,Club Brugge KV,BEL,1-1
Group A,2019-11-26,21:00,Real Madrid,ESP,Paris Saint-Germain,FRA,2-2
Group A,2019-12-11,21:00,Paris Saint-Germain,FRA,Galatasaray,TUR,5-0
Group A,2019-12-11,21:00,Club Brugge KV,BEL,Real Madrid,ESP,1-3
Group B,2019-09-18,18:55,Olympiakos Piraeus,GRE,Tottenham Hotspur,ENG,2-2
Group B,2019-09-18,21:00,Bayern München,GER,Crvena Zvezda,SRB,3-0
Group B,2019-10-01,21:00,Tottenham Hotspur,ENG,Bayern München,GER,2-7
Group B,2019-10-01,21:00,Crvena Zvezda,SRB,Olympiakos Piraeus,GRE,3-1
Group B,2019-10-22,21:00,Tottenham Hotspur,ENG,Crvena Zvezda,SRB,5-0
Group B,2019-10-22,21:00,Olympiakos Piraeus,GRE,Bayern München,GER,2-3
Group B,2019-11-06,18:55,Bayern München,GER,Olympiakos Piraeus,GRE,2-0
Group B,2019-11-06,21:00,Crvena Zvezda,SRB,Tottenham Hotspur,ENG,0-4
Group B,2019-11-26,21:00,Tottenham Hotspur,ENG,Olympiakos Piraeus,GRE,4-2
Group B,2019-11-26,21:00,Crvena Zvezda,SRB,Bayern München,GER,0-6
Group B,2019-12-11,21:00,Bayern München,GER,Tottenham Hotspur,ENG,3-1
Group B,2019-12-11,21:00,Olympiakos Piraeus,GRE,Crvena Zvezda,SRB,1-0
Group C,2019-09-18,21:00,Shakhtar Donetsk,UKR,Manchester City,ENG,0-3
Group C,2019-09-18,21:00,Dinamo Zagreb,CRO,Atalanta,ITA,4-0
Group C,2019-10-01,18:55,Atalanta,ITA,Shakhtar Donetsk,UKR,1-2
Group C,2019-10-01,21:00,Manchester City,ENG,Dinamo Zagreb,CRO,2-0
Group C,2019-10-22,18:55,Shakhtar Donetsk,UKR,Dinamo Zagreb,CRO,2-2
Group C,2019-10-22,21:00,Manchester City,ENG,Atalanta,ITA,5-1
Group C,2019-11-06,21:00,Dinamo Zagreb,CRO,Shakhtar Donetsk,UKR,3-3
Group C,2019-11-06,21:00,Atalanta,ITA,Manchester City,ENG,1-1
Group C,2019-11-26,21:00,Manchester City,ENG,Shakhtar Donetsk,UKR,1-1
Group C,2019-11-26,21:00,Atalanta,ITA,Dinamo Zagreb,CRO,2-0
Group C,2019-12-11,18:55,Shakhtar Donetsk,UKR,Atalanta,ITA,0-3
Group C,2019-12-11,18:55,Dinamo Zagreb,CRO,Manchester City,ENG,1-4
Group D,2019-09-18,21:00,Atlético Madrid,ESP,Juventus,ITA,2-2
Group D,2019-09-18,21:00,Bayer Leverkusen,GER,Lokomotiv Moskva,RUS,1-2
Group D,2019-10-01,21:00,Juventus,ITA,Bayer Leverkusen,GER,3-0
Group D,2019-10-01,21:00,Lokomotiv Moskva,RUS,Atlético Madrid,ESP,0-2
Group D,2019-10-22,18:55,Atlético Madrid,ESP,Bayer Leverkusen,GER,1-0
Group D,2019-10-22,21:00,Juventus,ITA,Lokomotiv Moskva,RUS,2-1
Group D,2019-11-06,18:55,Lokomotiv Moskva,RUS,Juventus,ITA,1-2
Group D,2019-11-06,21:00,Bayer Leverkusen,GER,Atlético Madrid,ESP,2-1
Group D,2019-11-26,18:55,Lokomotiv Moskva,RUS,Bayer Leverkusen,GER,0-2
Group D,2019-11-26,21:00,Juventus,ITA,Atlético Madrid,ESP,1-0
Group D,2019-12-11,21:00,Atlético Madrid,ESP,Lokomotiv Moskva,RUS,2-0
Group D,2019-12-11,21:00,Bayer Leverkusen,GER,Juventus,ITA,0-2
Group E,2019-09-17,21:00,SSC Napoli,ITA,Liverpool FC,ENG,2-0
Group E,2019-09-17,21:00,RB Salzburg,AUT,KRC Genk,BEL,6-2
Group E,2019-10-02,18:55,KRC Genk,BEL,SSC Napoli,ITA,0-0
Group E,2019-10-02,21:00,Liverpool FC,ENG,RB Salzburg,AUT,4-3
Group E,2019-10-23,21:00,RB Salzburg,AUT,SSC Napoli,ITA,2-3
Group E,2019-10-23,21:00,KRC Genk,BEL,Liverpool FC,ENG,1-4
Group E,2019-11-05,21:00,Liverpool FC,ENG,KRC Genk,BEL,2-1
Group E,2019-11-05,21:00,SSC Napoli,ITA,RB Salzburg,AUT,1-1
Group E,2019-11-27,21:00,Liverpool FC,ENG,SSC Napoli,ITA,1-1
Group E,2019-11-27,21:00,KRC Genk,BEL,RB Salzburg,AUT,1-4
Group E,2019-12-10,18:55,SSC Napoli,ITA,KRC Genk,BEL,4-0
Group E,2019-12-10,18:55,RB Salzburg,AUT,Liverpool FC,ENG,0-2
Group F,2019-09-17,18:55,Inter,ITA,Slavia Praha,CZE,1-1
Group F,2019-09-17,21:00,Borussia Dortmund,GER,FC Barcelona,ESP,0-0
Group F,2019-10-02,18:55,Slavia Praha,CZE,Borussia Dortmund,GER,0-2
Group F,2019-10-02,21:00,FC Barcelona,ESP,Inter,ITA,2-1
Group F,2019-10-23,21:00,Inter,ITA,Borussia Dortmund,GER,2-0
Group F,2019-10-23,21:00,Slavia Praha,CZE,FC Barcelona,ESP,1-2
Group F,2019-11-05,18:55,FC Barcelona,ESP,Slavia Praha,CZE,0-0
Group F,2019-11-05,21:00,Borussia Dortmund,GER,Inter,ITA,3-2
Group F,2019-11-27,21:00,FC Barcelona,ESP,Borussia Dortmund,GER,3-1
Group F,2019-11-27,21:00,Slavia Praha,CZE,Inter,ITA,1-3
Group F,2019-12-10,21:00,Borussia Dortmund,GER,Slavia Praha,CZE,2-1
Group F,2019-12-10,21:00,Inter,ITA,FC Barcelona,ESP,1-2
Group G,2019-09-17,18:55,Olympique Lyonnais,FRA,Zenit St. Petersburg,RUS,1-1
Group G,2019-09-17,21:00,SL Benfica,POR,RB Leipzig,GER,1-2
