Stage,Date,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Qualifying,1994-08-10,AEK Athens,GRE,Rangers FC,SCO,2-0
Qualifying,1994-08-10,Avenir Beggen,LUX,Galatasaray İstanbul AŞ,TUR,1-5
Qualifying,1994-08-10,Silkeborg IF,DEN,Dinamo Kiev,UKR,0-0
Qualifying,1994-08-10,Paris Saint-Germain,FRA,Dunakanyar-Vac,HUN,3-0
Qualifying,1994-08-10,Legia Warsaw,POL,Hajduk Split,CRO,0-1
Qualifying,1994-08-10,Sparta Praha,CZE,IFK Goteborg,SWE,1-0
Qualifying,1994-08-10,Maccabi Haifa,ISR,FC RB Salzburg,AUT,1-2
Qualifying,1994-08-10,Steaua Bucuresti,ROU,Servette Geneve,SUI,4-1
Qualifying,1994-08-24,Servette Geneve,SUI,Steaua Bucuresti,ROU,1-1
Qualifying,1994-08-24,Galatasaray İstanbul AŞ,TUR,Avenir Beggen,LUX,4-0
Qualifying,1994-08-24,Dinamo Kiev,UKR,Silkeborg IF,DEN,3-1
Qualifying,1994-08-24,Dunakanyar-Vac,HUN,Paris Saint-Germain,FRA,1-2
Qualifying,1994-08-24,Hajduk Split,CRO,Legia Warsaw,POL,4-0
Qualifying,1994-08-24,IFK Goteborg,SWE,Sparta Praha,CZE,2-0
Qualifying,1994-08-24,FC RB Salzburg,AUT,Maccabi Haifa,ISR,3-1
Qualifying,1994-08-24,Rangers FC,SCO,AEK Athens,GRE,0-1
Group,1994-09-14,Manchester United FC,ENG,IFK Goteborg,SWE,4-2
Group,1994-09-14,FC Barcelona,ESP,Galatasaray İstanbul AŞ,TUR,2-1
Group,1994-09-14,Dinamo Kiev,UKR,Spartak Moskva,RUS,3-2
Group,1994-09-14,Paris Saint-Germain,FRA,Bayern München,GER,2-0
Group,1994-09-14,Hajduk Split,CRO,SL Benfica,POR,0-0
Group,1994-09-14,RSC Anderlecht,BEL,Steaua Bucuresti,ROU,0-0
Group,1994-09-14,FC RB Salzburg,AUT,AEK Athens,GRE,0-0
Group,1994-09-14,AFC Ajax,NED,AC Milan,ITA,2-0
Group,1994-09-28,IFK Goteborg,SWE,FC Barcelona,ESP,2-1
Group,1994-09-28,Galatasaray İstanbul AŞ,TUR,Manchester United FC,ENG,0-0
Group,1994-09-28,Spartak Moskva,RUS,Paris Saint-Germain,FRA,1-2
Group,1994-09-28,Bayern München,GER,Dinamo Kiev,UKR,1-0
Group,1994-09-28,SL Benfica,POR,RSC Anderlecht,BEL,3-1
Group,1994-09-28,Steaua Bucuresti,ROU,Hajduk Split,CRO,0-1
Group,1994-09-28,AEK Athens,GRE,AFC Ajax,NED,1-2
Group,1994-09-28,AC Milan,ITA,FC RB Salzburg,AUT,3-0
Group,1994-10-19,IFK Goteborg,SWE,Galatasaray İstanbul AŞ,TUR,1-0
Group,1994-10-19,Manchester United FC,ENG,FC Barcelona,ESP,2-2
Group,1994-10-19,Spartak Moskva,RUS,Bayern München,GER,1-1
Group,1994-10-19,Dinamo Kiev,UKR,Paris Saint-Germain,FRA,1-2
Group,1994-10-19,SL Benfica,POR,Steaua Bucuresti,ROU,2-1
