Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
"Group, Matchday 1",2023-09-19,18:45,AC Milan,ITA,Newcastle United FC,ENG,0-0
"Group, Matchday 1",2023-09-19,18:45,BSC Young Boys,SUI,RB Leipzig,GER,1-3
"Group, Matchday 1",2023-09-19,21:00,SS Lazio,ITA,Club Atlético de Madrid,ESP,1-1
"Group, Matchday 1",2023-09-19,21:00,Feyenoord Rotterdam,NED,Celtic FC,SCO,2-0
"Group, Matchday 1",2023-09-19,21:00,Paris Saint-Germain FC,FRA,Borussia Dortmund,GER,2-0
"Group, Matchday 1",2023-09-19,21:00,Manchester City FC,ENG,FK Crvena Zvezda,SRB,3-1
"Group, Matchday 1",2023-09-19,21:00,FC Barcelona,ESP,Royal Antwerp FC,BEL,5-0
"Group, Matchday 1",2023-09-19,21:00,FK Shakhtar Donetsk,UKR,FC Porto,POR,1-3
"Group, Matchday 1",2023-09-20,18:45,Real Madrid CF,ESP,1. FC Union Berlin,GER,1-0
"Group, Matchday 1",2023-09-20,18:45,Galatasaray SK,TUR,FC København,DEN,2-2
"Group, Matchday 1",2023-09-20,21:00,Sevilla FC,ESP,Racing Club de Lens,FRA,1-1
"Group, Matchday 1",2023-09-20,21:00,Sporting Clube de Braga,POR,SSC Napoli,ITA,1-2
"Group, Matchday 1",2023-09-20,21:00,Real Sociedad de Fútbol,ESP,FC Internazionale Milano,ITA,1-1
"Group, Matchday 1",2023-09-20,21:00,Sport Lisboa e Benfica,POR,FC Red Bull Salzburg,AUT,0-2
"Group, Matchday 1",2023-09-20,21:00,FC Bayern München,GER,Manchester United FC,ENG,4-3
"Group, Matchday 1",2023-09-20,21:00,Arsenal FC,ENG,PSV,NED,4-0
"Group, Matchday 2",2023-10-03,18:45,1. FC Union Berlin,GER,Sporting Clube de Braga,POR,2-3
"Group, Matchday 2",2023-10-03,18:45,FC Red Bull Salzburg,AUT,Real Sociedad de Fútbol,ESP,0-2
"Group, Matchday 2",2023-10-03,21:00,SSC Napoli,ITA,Real Madrid CF,ESP,2-3
"Group, Matchday 2",2023-10-03,21:00,FC Internazionale Milano,ITA,Sport Lisboa e Benfica,POR,1-0
"Group, Matchday 2",2023-10-03,21:00,FC København,DEN,FC Bayern München,GER,1-2
"Group, Matchday 2",2023-10-03,21:00,Manchester United FC,ENG,Galatasaray SK,TUR,2-3
"Group, Matchday 2",2023-10-03,21:00,Racing Club de Lens,FRA,Arsenal FC,ENG,2-1
"Group, Matchday 2",2023-10-03,21:00,PSV,NED,Sevilla FC,ESP,2-2
"Group, Matchday 2",2023-10-04,18:45,Club Atlético de Madrid,ESP,Feyenoord Rotterdam,NED,3-2
"Group, Matchday 2",2023-10-04,18:45,Royal Antwerp FC,BEL,FK Shakhtar Donetsk,UKR,2-3
"Group, Matchday 2",2023-10-04,21:00,Celtic FC,SCO,SS Lazio,ITA,1-2
"Group, Matchday 2",2023-10-04,21:00,Borussia Dortmund,GER,AC Milan,ITA,0-0
"Group, Matchday 2",2023-10-04,21:00,Newcastle United FC,ENG,Paris Saint-Germain FC,FRA,4-1
"Group, Matchday 2",2023-10-04,21:00,FK Crvena Zvezda,SRB,BSC Young Boys,SUI,2-2
"Group, Matchday 2",2023-10-04,21:00,RB Leipzig,GER,Manchester City FC,ENG,1-3
"Group, Matchday 2",2023-10-04,21:00,FC Porto,POR,FC Barcelona,ESP,0-1
"Group, Matchday 3",2023-10-24,18:45,FC Internazionale Milano,ITA,FC Red Bull Salzburg,AUT,2-1
"Group, Matchday 3",2023-10-24,18:45,Galatasaray SK,TUR,FC Bayern München,GER,1-3
"Group, Matchday 3",2023-10-24,21:00,1. FC Union Berlin,GER,SSC Napoli,ITA,0-1
"Group, Matchday 3",2023-10-24,21:00,Sporting Clube de Braga,POR,Real Madrid CF,ESP,1-2
"Group, Matchday 3",2023-10-24,21:00,Sport Lisboa e Benfica,POR,Real Sociedad de Fútbol,ESP,0-1
"Group, Matchday 3",2023-10-24,21:00,Manchester United FC,ENG,FC København,DEN,1-0
"Group, Matchday 3",2023-10-24,21:00,Sevilla FC,ESP,Arsenal FC,ENG,1-2
"Group, Matchday 3",2023-10-24,21:00,Racing Club de Lens,FRA,PSV,NED,1-1
"Group, Matchday 3",2023-10-25,18:45,Feyenoord Rotterdam,NED,SS Lazio,ITA,3-1
"Group, Matchday 3",2023-10-25,18:45,FC Barcelona,ESP,FK Shakhtar Donetsk,UKR,2-1
"Group, Matchday 3",2023-10-25,21:00,Celtic FC,SCO,Club Atlético de Madrid,ESP,2-2
"Group, Matchday 3",2023-10-25,21:00,Paris Saint-Germain FC,FRA,AC Milan,ITA,3-0
"Group, Matchday 3",2023-10-25,21:00,Newcastle United FC,ENG,Borussia Dortmund,GER,0-1
"Group, Matchday 3",2023-10-25,21:00,BSC Young Boys,SUI,Manchester City FC,ENG,1-3
"Group, Matchday 3",2023-10-25,21:00,RB Leipzig,GER,FK Crvena Zvezda,SRB,3-1
"Group, Matchday 3",2023-10-25,21:00,Royal Antwerp FC,BEL,FC Porto,POR,1-4
"Group, Matchday 4",2023-11-07,18:45,Borussia Dortmund,GER,Newcastle United FC,ENG,2-0
"Group, Matchday 4",2023-11-07,18:45,FK Shakhtar Donetsk,UKR,FC Barcelona,ESP,1-0
"Group, Matchday 4",2023-11-07,21:00,Club Atlético de Madrid,ESP,Celtic FC,SCO,6-0
"Group, Matchday 4",2023-11-07,21:00,SS Lazio,ITA,Feyenoord Rotterdam,NED,1-0
"Group, Matchday 4",2023-11-07,21:00,AC Milan,ITA,Paris Saint-Germain FC,FRA,2-1
"Group, Matchday 4",2023-11-07,21:00,Manchester City FC,ENG,BSC Young Boys,SUI,3-0
"Group, Matchday 4",2023-11-07,21:00,FK Crvena Zvezda,SRB,RB Leipzig,GER,1-2
"Group, Matchday 4",2023-11-07,21:00,FC Porto,POR,Royal Antwerp FC,BEL,2-0
"Group, Matchday 4",2023-11-08,18:45,SSC Napoli,ITA,1. FC Union Berlin,GER,1-1
"Group, Matchday 4",2023-11-08,18:45,Real Sociedad de Fútbol,ESP,Sport Lisboa e Benfica,POR,3-1
"Group, Matchday 4",2023-11-08,21:00,Real Madrid CF,ESP,Sporting Clube de Braga,POR,3-0
"Group, Matchday 4",2023-11-08,21:00,FC Red Bull Salzburg,AUT,FC Internazionale Milano,ITA,0-1
"Group, Matchday 4",2023-11-08,21:00,FC Bayern München,GER,Galatasaray SK,TUR,2-1
"Group, Matchday 4",2023-11-08,21:00,FC København,DEN,Manchester United FC,ENG,4-3
"Group, Matchday 4",2023-11-08,21:00,Arsenal FC,ENG,Sevilla FC,ESP,2-0
"Group, Matchday 4",2023-11-08,21:00,PSV,NED,Racing Club de Lens,FRA,1-0
"Group, Matchday 5",2023-11-28,18:45,SS Lazio,ITA,Celtic FC,SCO,2-0
"Group, Matchday 5",2023-11-28,18:45,FK Shakhtar Donetsk,UKR,Royal Antwerp FC,BEL,1-0
"Group, Matchday 5",2023-11-28,21:00,Feyenoord Rotterdam,NED,Club Atlético de Madrid,ESP,1-3
"Group, Matchday 5",2023-11-28,21:00,AC Milan,ITA,Borussia Dortmund,GER,1-3
"Group, Matchday 5",2023-11-28,21:00,Paris Saint-Germain FC,FRA,Newcastle United FC,ENG,1-1
"Group, Matchday 5",2023-11-28,21:00,BSC Young Boys,SUI,FK Crvena Zvezda,SRB,2-0
"Group, Matchday 5",2023-11-28,21:00,Manchester City FC,ENG,RB Leipzig,GER,3-2
"Group, Matchday 5",2023-11-28,21:00,FC Barcelona,ESP,FC Porto,POR,2-1
"Group, Matchday 5",2023-11-29,18:45,Galatasaray SK,TUR,Manchester United FC,ENG,3-3
"Group, Matchday 5",2023-11-29,18:45,Sevilla FC,ESP,PSV,NED,2-3
"Group, Matchday 5",2023-11-29,21:00,Sporting Clube de Braga,POR,1. FC Union Berlin,GER,1-1
"Group, Matchday 5",2023-11-29,21:00,Real Madrid CF,ESP,SSC Napoli,ITA,4-2
"Group, Matchday 5",2023-11-29,21:00,Sport Lisboa e Benfica,POR,FC Internazionale Milano,ITA,3-3
"Group, Matchday 5",2023-11-29,21:00,Real Sociedad de Fútbol,ESP,FC Red Bull Salzburg,AUT,0-0
"Group, Matchday 5",2023-11-29,21:00,FC Bayern München,GER,FC København,DEN,0-0
"Group, Matchday 5",2023-11-29,21:00,Arsenal FC,ENG,Racing Club de Lens,FRA,6-0
"Group, Matchday 6",2023-12-12,18:45,PSV,NED,Arsenal FC,ENG,1-1
"Group, Matchday 6",2023-12-12,18:45,Racing Club de Lens,FRA,Sevilla FC,ESP,2-1
"Group, Matchday 6",2023-12-12,21:00,1. FC Union Berlin,GER,Real Madrid CF,ESP,2-3
"Group, Matchday 6",2023-12-12,21:00,SSC Napoli,ITA,Sporting Clube de Braga,POR,2-0
"Group, Matchday 6",2023-12-12,21:00,FC Internazionale Milano,ITA,Real Sociedad de Fútbol,ESP,0-0
"Group, Matchday 6",2023-12-12,21:00,FC Red Bull Salzburg,AUT,Sport Lisboa e Benfica,POR,1-3
"Group, Matchday 6",2023-12-12,21:00,Manchester United FC,ENG,FC Bayern München,GER,0-1
"Group, Matchday 6",2023-12-12,21:00,FC København,DEN,Galatasaray SK,TUR,1-0
"Group, Matchday 6",2023-12-13,18:45,RB Leipzig,GER,BSC Young Boys,SUI,2-1
"Group, Matchday 6",2023-12-13,18:45,FK Crvena Zvezda,SRB,Manchester City FC,ENG,2-3
"Group, Matchday 6",2023-12-13,21:00,Club Atlético de Madrid,ESP,SS Lazio,ITA,2-0
"Group, Matchday 6",2023-12-13,21:00,Celtic FC,SCO,Feyenoord Rotterdam,NED,2-1
"Group, Matchday 6",2023-12-13,21:00,Newcastle United FC,ENG,AC Milan,ITA,1-2
"Group, Matchday 6",2023-12-13,21:00,Borussia Dortmund,GER,Paris Saint-Germain FC,FRA,1-1
"Group, Matchday 6",2023-12-13,21:00,Royal Antwerp FC,BEL,FC Barcelona,ESP,3-2
"Group, Matchday 6",2023-12-13,21:00,FC Porto,POR,FK Shakhtar Donetsk,UKR,5-3
"Finals, Round of 16",2024-02-13,21:00,FC København,DEN,Manchester City FC,ENG,1-3
"Finals, Round of 16",2024-02-13,21:00,RB Leipzig,GER,Real Madrid CF,ESP,0-1
"Finals, Round of 16",2023-02-14,21:00,Paris Saint-Germain FC,FRA,Real Sociedad de Fútbol,ESP,2-0
"Finals, Round of 16",2023-02-14,21:00,SS Lazio,ITA,FC Bayern München,GER,1-0
"Finals, Round of 16",2023-02-20,21:00,FC Internazionale Milano,ITA,Club Atlético de Madrid,ESP,1-0
"Finals, Round of 16",2023-02-20,21:00,PSV,NED,Borussia Dortmund,GER,1-1
"Finals, Round of 16",2023-02-21,21:00,FC Porto,POR,Arsenal FC,ENG,1-0
"Finals, Round of 16",2023-02-21,21:00,SSC Napoli,ITA,FC Barcelona,ESP,1-1
"Finals, Round of 16",2023-03-05,21:00,Real Sociedad de Fútbol,ESP,Paris Saint-Germain FC,FRA,1-2
"Finals, Round of 16",2023-03-05,21:00,FC Bayern München,GER,SS Lazio,ITA,3-0
"Finals, Round of 16",2023-03-06,21:00,Manchester City FC,ENG,FC København,DEN,3-1
"Finals, Round of 16",2023-03-06,21:00,Real Madrid CF,ESP,RB Leipzig,GER,1-1
"Finals, Round of 16",2023-03-12,21:00,Arsenal FC,ENG,FC Porto,POR,4-2
"Finals, Round of 16",2023-03-12,21:00,FC Barcelona,ESP,SSC Napoli,ITA,3-1
"Finals, Round of 16",2023-03-13,21:00,Club Atlético de Madrid,ESP,FC Internazionale Milano,ITA,3-2
"Finals, Round of 16",2023-03-13,21:00,Borussia Dortmund,GER,PSV,NED,2-0
"Finals, Quarterfinals",2023-04-09,21:00,Arsenal FC,ENG,FC Bayern München,GER,2-2
"Finals, Quarterfinals",2023-04-09,21:00,Real Madrid CF,ESP,Manchester City FC,ENG,3-3
"Finals, Quarterfinals",2023-04-10,21:00,Club Atlético de Madrid,ESP,Borussia Dortmund,GER,2-1
"Finals, Quarterfinals",2023-04-10,21:00,Paris Saint-Germain FC,FRA,FC Barcelona,ESP,2-3
"Finals, Quarterfinals",2023-04-16,21:00,Borussia Dortmund,GER,Club Atlético de Madrid,ESP,4-2
"Finals, Quarterfinals",2023-04-16,21:00,FC Barcelona,ESP,Paris Saint-Germain FC,FRA,1-4
"Finals, Quarterfinals",2023-04-17,21:00,FC Bayern München,GER,Arsenal FC,ENG,1-0
"Finals, Quarterfinals",2023-04-17,21:00,Manchester City FC,ENG,Real Madrid CF,ESP,3-4
"Finals, Semifinals",2023-04-30,21:00,FC Bayern München,GER,Real Madrid CF,ESP,2-2
"Finals, Semifinals",2023-05-01,21:00,Borussia Dortmund,GER,Paris Saint-Germain FC,FRA,1-0
"Finals, Semifinals",2023-05-07,21:00,Paris Saint-Germain FC,FRA,Borussia Dortmund,GER,0-1
"Finals, Semifinals",2023-05-08,21:00,Real Madrid CF,ESP,FC Bayern München,GER,2-1
"Finals, Final",2023-06-01,21:00,Borussia Dortmund,GER,Real Madrid CF,ESP,0-2
