Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2017-09-12,20:45,Manchester United,ENG,FC Basel 1893,SUI,3-0
Group A,2017-09-12,20:45,SL Benfica,POR,CSKA Moskva,RUS,1-2
Group A,2017-09-27,20:45,FC Basel 1893,SUI,SL Benfica,POR,5-0
Group A,2017-09-27,20:45,CSKA Moskva,RUS,Manchester United,ENG,1-4
Group A,2017-10-18,20:45,SL Benfica,POR,Manchester United,ENG,0-1
Group A,2017-10-18,20:45,CSKA Moskva,RUS,FC Basel 1893,SUI,0-2
Group A,2017-10-31,20:45,Manchester United,ENG,SL Benfica,POR,2-0
Group A,2017-10-31,20:45,FC Basel 1893,SUI,CSKA Moskva,RUS,1-2
Group A,2017-11-22,18:00,CSKA Moskva,RUS,SL Benfica,POR,2-0
Group A,2017-11-22,20:45,FC Basel 1893,SUI,Manchester United,ENG,1-0
Group A,2017-12-05,20:45,SL Benfica,POR,FC Basel 1893,SUI,0-2
Group A,2017-12-05,20:45,Manchester United,ENG,CSKA Moskva,RUS,2-1
Group B,2017-09-12,20:45,Bayern München,GER,RSC Anderlecht,BEL,3-0
Group B,2017-09-12,20:45,Celtic FC,SCO,Paris Saint-Germain,FRA,0-5
Group B,2017-09-27,20:45,Paris Saint-Germain,FRA,Bayern München,GER,3-0
Group B,2017-09-27,20:45,RSC Anderlecht,BEL,Celtic FC,SCO,0-3
Group B,2017-10-18,20:45,RSC Anderlecht,BEL,Paris Saint-Germain,FRA,0-4
Group B,2017-10-18,20:45,Bayern München,GER,Celtic FC,SCO,3-0
Group B,2017-10-31,20:45,Paris Saint-Germain,FRA,RSC Anderlecht,BEL,5-0
Group B,2017-10-31,20:45,Celtic FC,SCO,Bayern München,GER,1-2
Group B,2017-11-22,20:45,RSC Anderlecht,BEL,Bayern München,GER,1-2
Group B,2017-11-22,20:45,Paris Saint-Germain,FRA,Celtic FC,SCO,7-1
