Stage,Date,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Qualifying,1998-07-22,Valletta,MLT,Anorthosis Famagusta,CYP,0-2
Qualifying,1998-07-22,Beitar Jerusalem,ISR,B36 Torshavn,FRO,4-1
Qualifying,1998-07-22,Dinamo Kiev,UKR,Barry Town,WAL,8-0
Qualifying,1998-07-22,Celtic FC,SCO,St Patrick's Athletic,IRL,0-0
Qualifying,1998-07-22,Cliftonville,NIR,Kosice,SVK,1-5
Qualifying,1998-07-22,FK Sileks,MKD,Club Brugge,BEL,0-0
Qualifying,1998-07-22,Skonto,LVA,Dinamo Minsk,BLR,0-0
Qualifying,1998-07-22,Dinamo Tbilisi,GEO,FK Vllaznia,ALB,3-0
Qualifying,1998-07-22,HJK Helsinki,FIN,FC Yerevan,ARM,2-0
Qualifying,1998-07-22,FK Kareda Kaunas,LTU,NK Maribor,SVN,0-3
Qualifying,1998-07-22,FK Obilic,SRB,IB Vestmannaeyja,ISL,2-0
Qualifying,1998-07-22,Steaua Bucuresti,ROU,Flora Tallinn,EST,4-1
Qualifying,1998-07-22,Grasshoppers Zurich,SUI,Jeunesse Esch,LUX,6-0
Qualifying,1998-07-22,PFC Litex Lovech,BUL,Halmstads BK,SWE,2-0
Qualifying,1998-07-22,LKS Lodz,POL,Kapaz,AZE,4-1
Qualifying,1998-07-22,Zimbru Chisinau,MDA,Ujpesti Dozsa SC,HUN,1-0
Qualifying,1998-07-27,B36 Torshavn,FRO,Beitar Jerusalem,ISR,0-1
Qualifying,1998-07-29,Ujpesti Dozsa SC,HUN,Zimbru Chisinau,MDA,3-1
Qualifying,1998-07-29,Barry Town,WAL,Dinamo Kiev,UKR,1-2
Qualifying,1998-07-29,St Patrick's Athletic,IRL,Celtic FC,SCO,0-2
Qualifying,1998-07-29,Kosice,SVK,Cliftonville,NIR,8-0
Qualifying,1998-07-29,Club Brugge,BEL,FK Sileks,MKD,2-1
Qualifying,1998-07-29,Dinamo Minsk,BLR,Skonto,LVA,1-2
Qualifying,1998-07-29,Anorthosis Famagusta,CYP,Valletta,MLT,6-0
Qualifying,1998-07-29,FC Yerevan,ARM,HJK Helsinki,FIN,0-3
Qualifying,1998-07-29,NK Maribor,SVN,FK Kareda Kaunas,LTU,1-0
Qualifying,1998-07-29,IB Vestmannaeyja,ISL,FK Obilic,SRB,1-2
Qualifying,1998-07-29,Flora Tallinn,EST,Steaua Bucuresti,ROU,3-1
Qualifying,1998-07-29,Jeunesse Esch,LUX,Grasshoppers Zurich,SUI,0-2
Qualifying,1998-07-29,Halmstads BK,SWE,PFC Litex Lovech,BUL,2-1
Qualifying,1998-07-29,Kapaz,AZE,LKS Lodz,POL,1-3
Qualifying,1998-07-29,FK Vllaznia,ALB,Dinamo Tbilisi,GEO,3-1
Qualifying,1998-08-12,Dinamo Kiev,UKR,Sparta Praha,CZE,0-1
Qualifying,1998-08-12,Dinamo Tbilisi,GEO,Athletic Bilbao,ESP,2-1
Qualifying,1998-08-12,Rosenborg BK,NOR,Club Brugge,BEL,2-0
Qualifying,1998-08-12,Olympiacos,GRE,Anorthosis Famagusta,CYP,2-1
