Stage,Date,Time,HomeTeam,HomeTeamCountry,AwayTeam,AwayTeamCountry,Score
Group A,2021-09-15,21:00,Manchester City,ENG,RB Leipzig,GER,6-3
Group A,2021-09-15,21:00,Club Brugge KV,BEL,Paris Saint-Germain,FRA,1-1
Group A,2021-09-28,21:00,Paris Saint-Germain,FRA,Manchester City,ENG,2-0
Group A,2021-09-28,21:00,RB Leipzig,GER,Club Brugge KV,BEL,1-2
Group A,2021-10-19,18:45,Club Brugge KV,BEL,Manchester City,ENG,1-5
Group A,2021-10-19,21:00,Paris Saint-Germain,FRA,RB Leipzig,GER,3-2
Group A,2021-11-03,21:00,RB Leipzig,GER,Paris Saint-Germain,FRA,2-2
Group A,2021-11-03,21:00,Manchester City,ENG,Club Brugge KV,BEL,4-1
Group A,2021-11-24,21:00,Manchester City,ENG,Paris Saint-Germain,FRA,2-1
Group A,2021-11-24,21:00,Club Brugge KV,BEL,RB Leipzig,GER,0-5
Group A,2021-12-07,18:45,RB Leipzig,GER,Manchester City,ENG,2-1
Group A,2021-12-07,18:45,Paris Saint-Germain,FRA,Club Brugge KV,BEL,4-1
Group B,2021-09-15,21:00,Atlético Madrid,ESP,FC Porto,POR,0-0
Group B,2021-09-15,21:00,Liverpool FC,ENG,AC Milan,ITA,3-2
Group B,2021-09-28,21:00,FC Porto,POR,Liverpool FC,ENG,1-5
Group B,2021-09-28,21:00,AC Milan,ITA,Atlético Madrid,ESP,1-2
Group B,2021-10-19,21:00,Atlético Madrid,ESP,Liverpool FC,ENG,2-3
Group B,2021-10-19,21:00,FC Porto,POR,AC Milan,ITA,1-0
Group B,2021-11-03,18:45,AC Milan,ITA,FC Porto,POR,1-1
Group B,2021-11-03,21:00,Liverpool FC,ENG,Atlético Madrid,ESP,2-0
Group B,2021-11-24,21:00,Liverpool FC,ENG,FC Porto,POR,2-0
Group B,2021-11-24,21:00,Atlético Madrid,ESP,AC Milan,ITA,0-1
Group B,2021-12-07,21:00,FC Porto,POR,Atlético Madrid,ESP,1-3
Group B,2021-12-07,21:00,AC Milan,ITA,Liverpool FC,ENG,1-2
Group C,2021-09-15,18:45,Beşiktaş,TUR,Borussia Dortmund,GER,1-2
Group C,2021-09-15,21:00,Sporting CP,POR,AFC Ajax,NED,1-5
Group C,2021-09-28,18:45,AFC Ajax,NED,Beşiktaş,TUR,2-0
Group C,2021-09-28,21:00,Borussia Dortmund,GER,Sporting CP,POR,1-0
Group C,2021-10-19,18:45,Beşiktaş,TUR,Sporting CP,POR,1-4
Group C,2021-10-19,21:00,AFC Ajax,NED,Borussia Dortmund,GER,4-0
Group C,2021-11-03,21:00,Borussia Dortmund,GER,AFC Ajax,NED,1-3
Group C,2021-11-03,21:00,Sporting CP,POR,Beşiktaş,TUR,4-0
Group C,2021-11-24,18:45,Beşiktaş,TUR,AFC Ajax,NED,1-2
Group C,2021-11-24,21:00,Sporting CP,POR,Borussia Dortmund,GER,3-1
Group C,2021-12-07,21:00,AFC Ajax,NED,Sporting CP,POR,4-2
Group C,2021-12-07,21:00,Borussia Dortmund,GER,Beşiktaş,TUR,5-0
Group D,2021-09-15,18:45,FC Sheriff,MDA,Shakhtar Donetsk,UKR,2-0
Group D,2021-09-15,21:00,Inter,ITA,Real Madrid,ESP,0-1
Group D,2021-09-28,18:45,Shakhtar Donetsk,UKR,Inter,ITA,0-0
Group D,2021-09-28,21:00,Real Madrid,ESP,FC Sheriff,MDA,1-2
Group D,2021-10-19,21:00,Shakhtar Donetsk,UKR,Real Madrid,ESP,0-5
Group D,2021-10-19,21:00,Inter,ITA,FC Sheriff,MDA,3-1
Group D,2021-11-03,18:45,Real Madrid,ESP,Shakhtar Donetsk,UKR,2-1
Group D,2021-11-03,21:00,FC Sheriff,MDA,Inter,ITA,1-3
Group D,2021-11-24,18:45,Inter,ITA,Shakhtar Donetsk,UKR,2-0
Group D,2021-11-24,21:00,FC Sheriff,MDA,Real Madrid,ESP,0-3
Group D,2021-12-07,21:00,Real Madrid,ESP,Inter,ITA,2-0
Group D,2021-12-07,21:00,Shakhtar Donetsk,UKR,FC Sheriff,MDA,1-1
Group E,2021-09-14,21:00,FC Barcelona,ESP,Bayern München,GER,0-3
Group E,2021-09-14,21:00,Dinamo Kiev,UKR,SL Benfica,POR,0-0
Group E,2021-09-29,21:00,SL Benfica,POR,FC Barcelona,ESP,3-0
Group E,2021-09-29,21:00,Bayern München,GER,Dinamo Kiev,UKR,5-0
Group E,2021-10-20,18:45,FC Barcelona,ESP,Dinamo Kiev,UKR,1-0
Group E,2021-10-20,21:00,SL Benfica,POR,Bayern München,GER,0-4
Group E,2021-11-02,21:00,Bayern München,GER,SL Benfica,POR,5-2
Group E,2021-11-02,21:00,Dinamo Kiev,UKR,FC Barcelona,ESP,0-1
Group E,2021-11-23,18:45,Dinamo Kiev,UKR,Bayern München,GER,1-2
Group E,2021-11-23,21:00,FC Barcelona,ESP,SL Benfica,POR,0-0
Group E,2021-12-08,21:00,Bayern München,GER,FC Barcelona,ESP,3-0
Group E,2021-12-08,21:00,SL Benfica,POR,Dinamo Kiev,UKR,2-0
Group F,2021-09-14,18:45,BSC Young Boys,SUI,Manchester United,ENG,2-1
Group F,2021-09-14,21:00,Villarreal CF,ESP,Atalanta,ITA,2-2
Group F,2021-09-29,18:45,Atalanta,ITA,BSC Young Boys,SUI,1-0
Group F,2021-09-29,21:00,Manchester United,ENG,Villarreal CF,ESP,2-1
Group F,2021-10-20,21:00,Manchester United,ENG,Atalanta,ITA,3-2
Group F,2021-10-20,21:00,BSC Young Boys,SUI,Villarreal CF,ESP,1-4
Group F,2021-11-02,21:00,Atalanta,ITA,Manchester United,ENG,2-2
Group F,2021-11-02,21:00,Villarreal CF,ESP,BSC Young Boys,SUI,2-0
Group F,2021-11-23,18:45,Villarreal CF,ESP,Manchester United,ENG,0-2
Group F,2021-11-23,21:00,BSC Young Boys,SUI,Atalanta,ITA,3-3
Group F,2021-12-08,21:00,Manchester United,ENG,BSC Young Boys,SUI,1-1
Group F,2021-12-09,19:00,Atalanta,ITA,Villarreal CF,ESP,2-3
Gruppe G,2021-09-14,18:45,Sevilla FC,ESP,RB Salzburg,AUT,1-1
Gruppe G,2021-09-14,21:00,Lille OSC,FRA,VfL Wolfsburg,GER,0-0
Gruppe G,2021-09-29,21:00,RB Salzburg,AUT,Lille OSC,FRA,2-1
Gruppe G,2021-09-29,21:00,VfL Wolfsburg,GER,Sevilla FC,ESP,1-1
Gruppe G,2021-10-20,18:45,RB Salzburg,AUT,VfL Wolfsburg,GER,3-1
Gruppe G,2021-10-20,21:00,Lille OSC,FRA,Sevilla FC,ESP,0-0
Gruppe G,2021-11-02,18:45,VfL Wolfsburg,GER,RB Salzburg,AUT,2-1
Gruppe G,2021-11-02,21:00,Sevilla FC,ESP,Lille OSC,FRA,1-2
Gruppe G,2021-11-23,21:00,Lille OSC,FRA,RB Salzburg,AUT,1-0
Gruppe G,2021-11-23,21:00,Sevilla FC,ESP,VfL Wolfsburg,GER,2-0
Gruppe G,2021-12-08,21:00,RB Salzburg,AUT,Sevilla FC,ESP,1-0
Gruppe G,2021-12-08,21:00,VfL Wolfsburg,GER,Lille OSC,FRA,1-3
Gruppe H,2021-09-14,21:00,Chelsea FC,ENG,Zenit St. Petersburg,RUS,1-0
Gruppe H,2021-09-14,21:00,Malmö FF,SWE,Juventus,ITA,0-3
Gruppe H,2021-09-29,18:45,Zenit St. Petersburg,RUS,Malmö FF,SWE,4-0
Gruppe H,2021-09-29,21:00,Juventus,ITA,Chelsea FC,ENG,1-0
Gruppe H,2021-10-20,21:00,Zenit St. Petersburg,RUS,Juventus,ITA,0-1
Gruppe H,2021-10-20,21:00,Chelsea FC,ENG,Malmö FF,SWE,4-0
Gruppe H,2021-11-02,18:45,Malmö FF,SWE,Chelsea FC,ENG,0-1
Gruppe H,2021-11-02,21:00,Juventus,ITA,Zenit St. Petersburg,RUS,4-2
Gruppe H,2021-11-23,21:00,Chelsea FC,ENG,Juventus,ITA,4-0
Gruppe H,2021-11-23,21:00,Malmö FF,SWE,Zenit St. Petersburg,RUS,1-1
Gruppe H,2021-12-08,18:45,Zenit St. Petersburg,RUS,Chelsea FC,ENG,3-3
Gruppe H,2021-12-08,18:45,Juventus,ITA,Malmö FF,SWE,1-0
Round of 16,2022-02-15,21:00,Sporting CP,POR,Manchester City,ENG,0-5
Round of 16,2022-02-15,21:00,Paris Saint-Germain,FRA,Real Madrid,ESP,1-0
Round of 16,2021-02-16,21:00,RB Salzburg,AUT,Bayern München,GER,1-1
Round of 16,2021-02-16,21:00,Inter,ITA,Liverpool FC,ENG,0-2
Round of 16,2021-02-22,21:00,Chelsea FC,ENG,Lille OSC,FRA,2-0
Round of 16,2021-02-22,21:00,Villarreal CF,ESP,Juventus,ITA,1-1
Round of 16,2021-02-23,21:00,SL Benfica,POR,AFC Ajax,NED,2-2
Round of 16,2021-02-23,21:00,Atlético Madrid,ESP,Manchester United,ENG,1-1
Round of 16,2021-03-08,21:00,Bayern München,GER,RB Salzburg,AUT,7-1
Round of 16,2021-03-08,21:00,Liverpool FC,ENG,Inter,ITA,0-1
Round of 16,2021-03-09,21:00,Manchester City,ENG,Sporting CP,POR,0-0
Round of 16,2021-03-09,21:00,Real Madrid,ESP,Paris Saint-Germain,FRA,3-1
