season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_other,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
1992,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,8764,Vasilios Dimitriadis,59.0,1966-02-01,GRE,,MALE,,,,Dimitriadis,,2.0,1.0,,,,,,,4.0
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,2809,Robertas Fridrikas,58.0,1967-04-08,LTU,,MALE,,,,Fridrikas,,2.0,1.0,,,,,,,4.0
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,18678,Assis,54.0,1971-01-10,BRA,BRA,MALE,,,,De Assis Moreira,,2.0,1.0,,,,,,,4.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,8278,Kaj Eskelinen,56.0,1969-02-21,SWE,,MALE,MIDFIELDER,,,Eskelinen,,2.0,1.0,,,,,,,3.0
1992,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,14520,Andreas Buck,57.0,1967-12-29,GER,,MALE,FORWARD,,,Buck,,2.0,1.0,,,,,,,3.0
1992,57489,TAV,Tavriya,Tavriya,Ukraine,Ucrania,18595,Serhiy Schevtchenko,65.0,1960-05-15,UKR,,MALE,,,,Schevtchenko,,2.0,,,,,,,2.0,2.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,8522,Gary McAllister,60.0,1964-12-25,SCO,,MALE,,,,,,2.0,,,,,,,1.0,5.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,10494,Oleg Sergeev,57.0,1968-03-29,RUS,,MALE,,,,,,2.0,,,,,,,,10.0
1992,50058,MIL,Milan,Milan,Italy,Italia,430,Daniele Massaro,64.0,1961-05-23,ITA,,MALE,FORWARD,,,Massaro,,2.0,,,,,,,,9.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1875,Ally McCoist,63.0,1962-09-24,SCO,,MALE,FORWARD,,,McCoist,,2.0,,,,,,,,9.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,7276,Alexandre Grichine,54.0,1971-11-18,URS,,MALE,,,,Grichine,,2.0,,,,,,,,7.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,1707,Jaime Magalhães,63.0,1962-07-10,POR,,MALE,,,,Magalhães,,2.0,,,,,,,,6.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,5329,Eric Cantona,59.0,1966-05-24,FRA,FRA,MALE,FORWARD,UNKNOWN,,Cantona,,2.0,,,,,,,,5.0
1992,50080,BAR,Barcelona,Barcelona,Spain,España,144,Aitor Begiristain,61.0,1964-08-12,ESP,,MALE,MIDFIELDER,UNKNOWN,,Beguiristáin,,2.0,,,,,,,,4.0
1992,52748,MAR,Marseille,Marseille,France,Francia,1896986,Marcel Desailly,57.0,1968-09-07,FRA,GHA,MALE,DEFENDER,CENTRE_BACK,,Desailly,,1.0,1.0,,,,,,,10.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,15138,Ilshat Fayzulin,52.0,1973-03-05,RUS,,MALE,,,,Faizouline,,1.0,1.0,,,,,,,10.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,121,Wim Kieft,63.0,1962-11-12,NED,,MALE,,,,Kieft,,1.0,1.0,,,,,,,8.0
