season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,distribution__passes_accuracy,distribution__passes_attempted,distribution__passes_completed,distribution__cross_accuracy,distribution__cross_attempted,distribution__cross_completed,distribution__free_kick,distribution__matches_appearance
1992,50058,MIL,Milan,Milan,Italy,Italia,434,Mauro Tassotti,65.0,1960-01-19,ITA,,MALE,,,,,,,,,0.0,,,,9.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,2158,Ola Svensson,61.0,1964-04-06,SWE,,MALE,DEFENDER,UNKNOWN,,Svensson,,,,,0.0,,,,9.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,1691,Orlando Semedo,60.0,1965-03-05,POR,,MALE,FORWARD,,,Semedo,,,,,0.0,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,17,Jan Heintze,62.0,1963-08-17,DEN,,MALE,MIDFIELDER,,,Heintze,,,,,0.0,,,,9.0
1992,52748,MAR,Marseille,Marseille,France,Francia,12856,Jocelyn Angloma,60.0,1965-08-07,FRA,,MALE,DEFENDER,,,Angloma,,,,,0.0,,,,9.0
1992,52748,MAR,Marseille,Marseille,France,Francia,5413,Eric Di Meco,62.0,1963-09-07,FRA,,MALE,DEFENDER,,,Di Meco,,,,,0.0,,,,9.0
1992,50058,MIL,Milan,Milan,Italy,Italia,8579,Gianluigi Lentini,56.0,1969-03-27,ITA,,MALE,FORWARD,,,Lentini,,,,,0.0,,,,9.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,7273,Evgeni Bushmanov,54.0,1971-11-02,RUS,,MALE,,,,Bushmanov,,,,,0.0,,,,9.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,114,Gerald Vanenburg,61.0,1964-03-05,NED,,MALE,MIDFIELDER,UNKNOWN,,Vanenburg,,,,,0.0,,,,9.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,14211,Tomasz Dziubinski,57.0,1968-07-08,POL,,MALE,,,,Dziubinski,,,,,0.0,,,,9.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,1704,Domingos,56.0,1969-01-02,POR,,MALE,FORWARD,,,Domingos,,,,,0.0,,,,9.0
1992,50058,MIL,Milan,Milan,Italy,Italia,430,Daniele Massaro,64.0,1961-05-23,ITA,,MALE,FORWARD,,,Massaro,,,,,0.0,,,,9.0
1992,52748,MAR,Marseille,Marseille,France,Francia,8928,Jean-Philippe Durand,65.0,1960-11-11,FRA,,MALE,FORWARD,,,Durand,,,,,0.0,,,,9.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,918,László Disztl,63.0,1962-06-04,HUN,,MALE,,,,Disztl,,,,,0.0,,,,8.0
1992,50058,MIL,Milan,Milan,Italy,Italia,416,Franco Baresi,65.0,1960-05-08,ITA,ITA,MALE,DEFENDER,,,Baresi,,,,,0.0,,,,8.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,2285,Thomas Ravelli,66.0,1959-08-13,SWE,,MALE,GOALKEEPER,,,Ravelli,,,,,0.0,,,,8.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,22125,Serghei Kolotovkine,60.0,1965-09-28,RUS,,MALE,DEFENDER,,,Kolotovkine,,,,,0.0,,,,8.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,1705,João Pinto,64.0,1961-11-21,POR,,MALE,,UNKNOWN,,,,,,,0.0,,,,8.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,15129,Oleg Malioukov,60.0,1965-10-30,URS,,MALE,,,,Malioukov,,,,,0.0,,,,8.0
1992,52748,MAR,Marseille,Marseille,France,Francia,4993,Alen Bokšić,55.0,1970-01-21,CRO,,MALE,FORWARD,,,Bokšić,,,,,0.0,,,,8.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,679,Franky Van der Elst,64.0,1961-04-30,BEL,,MALE,,UNKNOWN,,Van Der Elst,,,,,0.0,,,,8.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,109,Adri van Tiggelen,68.0,1957-06-16,NED,,MALE,DEFENDER,UNKNOWN,,Van Tiggelen,,,,,0.0,,,,8.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,121,Wim Kieft,63.0,1962-11-12,NED,,MALE,,,,Kieft,,,,,0.0,,,,8.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,4016,Ernest Faber,54.0,1971-08-27,NED,,MALE,,,,,,,,,0.0,,,,8.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,3265,David Robertson,57.0,1968-10-17,SCO,,MALE,DEFENDER,UNKNOWN,,Robertson,,,,,0.0,,,,8.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,2699,Emil Kostadinov,58.0,1967-08-12,BUL,,MALE,,,,Kostadinov,,,,,0.0,,,,8.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,301,Mark Hateley,64.0,1961-11-07,ENG,,MALE,FORWARD,UNKNOWN,,Hateley,,,,,0.0,,,,8.0
1992,52748,MAR,Marseille,Marseille,France,Francia,37,Rudi Völler,65.0,1960-04-13,GER,,MALE,,UNKNOWN,,,,,,,0.0,,,,8.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,7278,Alexei Gouchtchine,54.0,1971-10-21,RUS,,MALE,DEFENDER,,,Gouchtchine,,,,,0.0,,,,8.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,4769,Arthur Numan,55.0,1969-12-14,NED,,MALE,DEFENDER,,,Numan,,,,,0.0,,,,8.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,19268,Denis Mashkarin,52.0,1973-05-17,RUS,,MALE,DEFENDER,,64499,Mashkarin,,,,,0.0,,,,8.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,14149,Thomas Andersson,55.0,1970-11-21,SWE,,MALE,MIDFIELDER,UNKNOWN,,Andersson,,,,,0.0,,,,8.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,4405,Jorge Couto,55.0,1970-07-01,POR,,MALE,FORWARD,,52819,Jorge Silva,,,,,0.0,,,,8.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,1188,Juul Ellerman,60.0,1965-10-07,NED,,MALE,,,,Ellerman,,,,,0.0,,,,8.0
1992,50058,MIL,Milan,Milan,Italy,Italia,5535,Marco Simone,56.0,1969-01-07,ITA,,MALE,FORWARD,,,Simone,,,,,0.0,,,,8.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,2167,Mikael Nilsson,57.0,1968-09-28,SWE,,MALE,DEFENDER,,,Nilsson,,,,,0.0,,,,7.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1868,Ian Ferguson,58.0,1967-03-15,SCO,,MALE,MIDFIELDER,,,Ferguson,,,,,0.0,,,,7.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,1589,Vital Borkelmans,62.0,1963-06-01,BEL,,MALE,DEFENDER,,,Borkelmans,,,,,0.0,,,,7.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,15131,Dmitri Bystrov,58.0,1967-07-30,URS,,MALE,,,,Bystrov,,,,,0.0,,,,7.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,14204,Stéphane van der Heyden,56.0,1969-07-03,BEL,,MALE,,UNKNOWN,,,,,,,0.0,,,,7.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,4393,Fernando Couto,56.0,1969-08-02,POR,POR,MALE,DEFENDER,,,Couto,,,,,0.0,,,,7.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,120,Erwin Koeman,64.0,1961-09-20,NED,NED,MALE,,UNKNOWN,,,,,,,0.0,,,,7.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,55,Trevor Steven,62.0,1963-09-21,ENG,,MALE,MIDFIELDER,UNKNOWN,,Steven,,,,,0.0,,,,7.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,1869,Richard Gough,63.0,1962-04-05,SCO,,MALE,,,,Gough,,,,,0.0,,,,7.0
1992,50058,MIL,Milan,Milan,Italy,Italia,5521,Demetrio Albertini,54.0,1971-08-23,ITA,ITA,MALE,MIDFIELDER,,,Albertini,,,,,0.0,,,,7.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,7272,Valery Minko,54.0,1971-08-08,RUS,,MALE,DEFENDER,,,Minko,,,,,0.0,,,,7.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,11944,Claude Verspaille,61.0,1964-07-21,BEL,,MALE,,,,Verspaille,,,,,0.0,,,,7.0
1992,50058,MIL,Milan,Milan,Italy,Italia,5315,Jean-Pierre Papin,62.0,1963-11-05,,,,FORWARD,,,,,,,,0.0,,,,7.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,1714,Santos Andre,67.0,1957-12-24,POR,,MALE,,,,Andre,,,,,0.0,,,,7.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,7276,Alexandre Grichine,54.0,1971-11-18,URS,,MALE,,,,Grichine,,,,,0.0,,,,7.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,670,Peter Crève,64.0,1961-08-17,BEL,,MALE,,,,Crève,,,,,0.0,,,,7.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,6826,Vasili Ivanov,55.0,1970-03-21,URS,,MALE,MIDFIELDER,,,Ivanov,,,,,0.0,,,,7.0
1992,52748,MAR,Marseille,Marseille,France,Francia,8890,Bernard Casoni,64.0,1961-09-04,FRA,,MALE,,,,,,,,,0.0,,,,6.0
